A_PETG_FCR_1
Integration time [ms]: 100,000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1204091U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

1014,48; 8444,000; 2159,000; 6686,000;138,83366
1019,01; 8971,000; 2263,000; 7134,000;137,71300
1023,54; 9513,000; 2460,000; 7582,000;137,70012
1028,07; 9728,000; 2357,000; 7740,000;136,93108
1032,59;10014,000; 2222,000; 7947,000;136,10480
1037,10;10556,000; 2251,000; 8409,000;134,86522
1041,62;10999,000; 2335,000; 8775,000;134,53416
1046,12;11844,000; 2824,000; 9555,000;134,00683
1050,62;11592,000; 2300,000; 9240,000;133,89049
1055,12;11781,000; 2181,000; 9387,000;133,22231
1059,62;11796,000; 2009,000; 9358,000;133,17458
1064,10;12517,000; 2401,000;10031,000;132,58191
1068,59;12974,000; 2570,000;10411,000;132,68716
1073,07;13166,000; 2356,000;10516,000;132,47549
1077,54;13304,000; 2278,000;10631,000;132,00048
1082,01;13786,000; 2486,000;11025,000;132,33400
1086,48;14114,000; 2488,000;11325,000;131,56048
1090,94;13827,000; 2081,000;10975,000;132,06656
1095,39;15161,000; 3026,000;12290,000;130,99093
1099,85;14794,000; 2345,000;11921,000;130,00209
1104,29;15119,000; 2403,000;12226,000;129,45129
1108,73;14961,000; 2060,000;12064,000;128,95842
1113,17;15761,000; 2768,000;12897,000;128,27525
1117,61;15500,000; 2351,000;12709,000;126,94536
1122,03;15911,000; 2714,000;13178,000;126,11812
1126,46;15555,000; 2237,000;12873,000;125,21625
1130,88;15638,000; 2154,000;12946,000;124,94440
1135,29;16470,000; 2780,000;13624,000;126,24493
1139,70;16184,000; 2109,000;13204,000;126,85895
1144,11;16433,000; 2181,000;13375,000;127,31821
1148,51;16595,000; 2244,000;13522,000;127,24774
1152,90;16697,000; 2301,000;13707,000;126,21427
1157,29;16455,000; 2006,000;13470,000;126,03803
1161,68;16750,000; 2262,000;13824,000;125,30704
1166,06;16644,000; 2248,000;13803,000;124,58676
1170,44;16685,000; 2494,000;13961,000;123,75512
1174,81;16010,000; 2196,000;13387,000;123,43848
1179,18;16099,000; 2339,000;13505,000;123,23124
