A_PLA_FCR_1
Integration time [ms]: 100,000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1204091U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

1014,48; 5371,000; 2159,000; 6686,000;70,95207
1019,01; 5679,000; 2263,000; 7134,000;70,12934
1023,54; 6072,000; 2460,000; 7582,000;70,51933
1028,07; 6109,000; 2357,000; 7740,000;69,70091
1032,59; 6180,000; 2222,000; 7947,000;69,13537
1037,10; 6481,000; 2251,000; 8409,000;68,69113
1041,62; 6733,000; 2335,000; 8775,000;68,29193
1046,12; 7406,000; 2824,000; 9555,000;68,07309
1050,62; 7010,000; 2300,000; 9240,000;67,86744
1055,12; 7062,000; 2181,000; 9387,000;67,73522
1059,62; 6958,000; 2009,000; 9358,000;67,34250
1064,10; 7522,000; 2401,000;10031,000;67,11664
1068,59; 7821,000; 2570,000;10411,000;66,96850
1073,07; 7801,000; 2356,000;10516,000;66,72794
1077,54; 7815,000; 2278,000;10631,000;66,28756
1082,01; 8141,000; 2486,000;11025,000;66,22555
1086,48; 8331,000; 2488,000;11325,000;66,11972
1090,94; 7934,000; 2081,000;10975,000;65,80841
1095,39; 9150,000; 3026,000;12290,000;66,10535
1099,85; 8613,000; 2345,000;11921,000;65,45530
1104,29; 8826,000; 2403,000;12226,000;65,38736
1108,73; 8609,000; 2060,000;12064,000;65,46381
1113,17; 9357,000; 2768,000;12897,000;65,05084
1117,61; 9059,000; 2351,000;12709,000;64,76154
1122,03; 9474,000; 2714,000;13178,000;64,60245
1126,46; 9081,000; 2237,000;12873,000;64,34750
1130,88; 9004,000; 2154,000;12946,000;63,47294
1135,29; 9654,000; 2780,000;13624,000;63,38989
1139,70; 9071,000; 2109,000;13204,000;62,74899
1144,11; 9177,000; 2181,000;13375,000;62,49777
1148,51; 9236,000; 2244,000;13522,000;61,99681
1152,90; 9244,000; 2301,000;13707,000;60,87147
1157,29; 8911,000; 2006,000;13470,000;60,23203
1161,68; 9139,000; 2262,000;13824,000;59,47933
1166,06; 9096,000; 2248,000;13803,000;59,26439
1170,44; 9244,000; 2494,000;13961,000;58,86457
1174,81; 8794,000; 2196,000;13387,000;58,95809
