B_PACF_FCR_1
Integration time [ms]: 100,000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1204091U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

1014,48; 4005,000; 2159,000; 6686,000;40,77756
1019,01; 4191,000; 2263,000; 7134,000;39,58119
1023,54; 4475,000; 2460,000; 7582,000;39,34010
1028,07; 4447,000; 2357,000; 7740,000;38,82593
1032,59; 4404,000; 2222,000; 7947,000;38,11354
1037,10; 4586,000; 2251,000; 8409,000;37,91816
1041,62; 4739,000; 2335,000; 8775,000;37,32919
1046,12; 5319,000; 2824,000; 9555,000;37,06730
1050,62; 4851,000; 2300,000; 9240,000;36,75793
1055,12; 4788,000; 2181,000; 9387,000;36,17818
1059,62; 4667,000; 2009,000; 9358,000;36,16819
1064,10; 5133,000; 2401,000;10031,000;35,80603
1068,59; 5391,000; 2570,000;10411,000;35,97755
1073,07; 5269,000; 2356,000;10516,000;35,69853
1077,54; 5280,000; 2278,000;10631,000;35,93918
1082,01; 5561,000; 2486,000;11025,000;36,01124
1086,48; 5640,000; 2488,000;11325,000;35,66821
1090,94; 5247,000; 2081,000;10975,000;35,59703
1095,39; 6338,000; 3026,000;12290,000;35,75130
1099,85; 5730,000; 2345,000;11921,000;35,34879
1104,29; 5870,000; 2403,000;12226,000;35,29472
1108,73; 5596,000; 2060,000;12064,000;35,34586
1113,17; 6357,000; 2768,000;12897,000;35,43292
1117,61; 5999,000; 2351,000;12709,000;35,21915
1122,03; 6401,000; 2714,000;13178,000;35,23509
1126,46; 5977,000; 2237,000;12873,000;35,16360
1130,88; 5968,000; 2154,000;12946,000;35,34099
1135,29; 6598,000; 2780,000;13624,000;35,20841
1139,70; 6015,000; 2109,000;13204,000;35,20505
1144,11; 6124,000; 2181,000;13375,000;35,22423
1148,51; 6230,000; 2244,000;13522,000;35,34315
1152,90; 6292,000; 2301,000;13707,000;34,99036
1157,29; 5999,000; 2006,000;13470,000;34,83077
1161,68; 6293,000; 2262,000;13824,000;34,86421
1166,06; 6308,000; 2248,000;13803,000;35,13630
1170,44; 6513,000; 2494,000;13961,000;35,04840
1174,81; 6146,000; 2196,000;13387,000;35,29622
