C_PCCF_FCR_1
Integration time [ms]: 100,000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1204091U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

1014,48; 3981,000; 2159,000; 6686,000;40,24740
1019,01; 4184,000; 2263,000; 7134,000;39,43749
1023,54; 4462,000; 2460,000; 7582,000;39,08629
1028,07; 4440,000; 2357,000; 7740,000;38,69589
1032,59; 4407,000; 2222,000; 7947,000;38,16594
1037,10; 4576,000; 2251,000; 8409,000;37,75576
1041,62; 4744,000; 2335,000; 8775,000;37,40683
1046,12; 5317,000; 2824,000; 9555,000;37,03759
1050,62; 4850,000; 2300,000; 9240,000;36,74352
1055,12; 4815,000; 2181,000; 9387,000;36,55287
1059,62; 4690,000; 2009,000; 9358,000;36,48115
1064,10; 5178,000; 2401,000;10031,000;36,39581
1068,59; 5426,000; 2570,000;10411,000;36,42393
1073,07; 5299,000; 2356,000;10516,000;36,06618
1077,54; 5267,000; 2278,000;10631,000;35,78355
1082,01; 5545,000; 2486,000;11025,000;35,82387
1086,48; 5621,000; 2488,000;11325,000;35,45321
1090,94; 5223,000; 2081,000;10975,000;35,32719
1095,39; 6279,000; 3026,000;12290,000;35,11442
1099,85; 5681,000; 2345,000;11921,000;34,83709
1104,29; 5812,000; 2403,000;12226,000;34,70427
1108,73; 5504,000; 2060,000;12064,000;34,42623
1113,17; 6275,000; 2768,000;12897,000;34,62336
1117,61; 5943,000; 2351,000;12709,000;34,67851
1122,03; 6330,000; 2714,000;13178,000;34,55657
1126,46; 5910,000; 2237,000;12873,000;34,53366
1130,88; 5872,000; 2154,000;12946,000;34,45145
1135,29; 6553,000; 2780,000;13624,000;34,79343
1139,70; 5931,000; 2109,000;13204,000;34,44795
1144,11; 6053,000; 2181,000;13375,000;34,58996
1148,51; 6145,000; 2244,000;13522,000;34,58947
1152,90; 6248,000; 2301,000;13707,000;34,60459
1157,29; 6004,000; 2006,000;13470,000;34,87439
1161,68; 6287,000; 2262,000;13824,000;34,81232
1166,06; 6266,000; 2248,000;13803,000;34,77283
1170,44; 6490,000; 2494,000;13961,000;34,84782
1174,81; 6098,000; 2196,000;13387,000;34,86730
