C_PETG_FCR_1
Integration time [ms]: 100,000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1204091U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

1014,48; 6807,000; 2159,000; 6686,000;102,67285
1019,01; 7208,000; 2263,000; 7134,000;101,51920
1023,54; 7674,000; 2460,000; 7582,000;101,79617
1028,07; 7798,000; 2357,000; 7740,000;101,07747
1032,59; 7989,000; 2222,000; 7947,000;100,73362
1037,10; 8377,000; 2251,000; 8409,000;99,48035
1041,62; 8716,000; 2335,000; 8775,000;99,08385
1046,12; 9481,000; 2824,000; 9555,000;98,90061
1050,62; 9125,000; 2300,000; 9240,000;98,34294
1055,12; 9256,000; 2181,000; 9387,000;98,18207
1059,62; 9194,000; 2009,000; 9358,000;97,76840
1064,10; 9824,000; 2401,000;10031,000;97,28702
1068,59;10196,000; 2570,000;10411,000;97,25800
1073,07;10292,000; 2356,000;10516,000;97,25490
1077,54;10348,000; 2278,000;10631,000;96,61200
1082,01;10755,000; 2486,000;11025,000;96,83804
1086,48;11030,000; 2488,000;11325,000;96,66176
1090,94;10664,000; 2081,000;10975,000;96,50326
1095,39;11936,000; 3026,000;12290,000;96,17876
1099,85;11452,000; 2345,000;11921,000;95,10234
1104,29;11721,000; 2403,000;12226,000;94,85900
1108,73;11481,000; 2060,000;12064,000;94,17233
1113,17;12232,000; 2768,000;12897,000;93,43469
1117,61;11918,000; 2351,000;12709,000;92,36339
1122,03;12274,000; 2714,000;13178,000;91,36086
1126,46;11878,000; 2237,000;12873,000;90,64498
1130,88;11918,000; 2154,000;12946,000;90,47443
1135,29;12724,000; 2780,000;13624,000;91,70048
1139,70;12341,000; 2109,000;13204,000;92,22172
1144,11;12555,000; 2181,000;13375,000;92,67465
1148,51;12711,000; 2244,000;13522,000;92,80901
1152,90;12803,000; 2301,000;13707,000;92,07435
1157,29;12488,000; 2006,000;13470,000;91,43405
1161,68;12814,000; 2262,000;13824,000;91,26449
1166,06;12739,000; 2248,000;13803,000;90,79186
1170,44;12809,000; 2494,000;13961,000;89,95378
1174,81;12239,000; 2196,000;13387,000;89,74176
1179,18;12344,000; 2339,000;13505,000;89,60236
