C_PLA_FCR_1
Integration time [ms]: 100,000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1204091U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

1014,48; 5667,000; 2159,000; 6686,000;77,49061
1019,01; 5999,000; 2263,000; 7134,000;76,69883
1023,54; 6401,000; 2460,000; 7582,000;76,94260
1028,07; 6452,000; 2357,000; 7740,000;76,07282
1032,59; 6568,000; 2222,000; 7947,000;75,91266
1037,10; 6877,000; 2251,000; 8409,000;75,12179
1041,62; 7139,000; 2335,000; 8775,000;74,59627
1046,12; 7824,000; 2824,000; 9555,000;74,28317
1050,62; 7444,000; 2300,000; 9240,000;74,12104
1055,12; 7482,000; 2181,000; 9387,000;73,56370
1059,62; 7408,000; 2009,000; 9358,000;73,46578
1064,10; 7967,000; 2401,000;10031,000;72,94889
1068,59; 8280,000; 2570,000;10411,000;72,82234
1073,07; 8314,000; 2356,000;10516,000;73,01471
1077,54; 8349,000; 2278,000;10631,000;72,68047
1082,01; 8656,000; 2486,000;11025,000;72,25670
1086,48; 8895,000; 2488,000;11325,000;72,50198
1090,94; 8538,000; 2081,000;10975,000;72,59951
1095,39; 9745,000; 3026,000;12290,000;72,52807
1099,85; 9242,000; 2345,000;11921,000;72,02381
1104,29; 9436,000; 2403,000;12226,000;71,59727
1108,73; 9209,000; 2060,000;12064,000;71,46142
1113,17; 9999,000; 2768,000;12897,000;71,38908
1117,61; 9708,000; 2351,000;12709,000;71,02723
1122,03;10115,000; 2714,000;13178,000;70,72821
1126,46; 9728,000; 2237,000;12873,000;70,43061
1130,88; 9664,000; 2154,000;12946,000;69,58858
1135,29;10279,000; 2780,000;13624,000;69,15345
1139,70; 9720,000; 2109,000;13204,000;68,59847
1144,11; 9835,000; 2181,000;13375,000;68,37592
1148,51; 9874,000; 2244,000;13522,000;67,65384
1152,90; 9898,000; 2301,000;13707,000;66,60530
1157,29; 9531,000; 2006,000;13470,000;65,64027
1161,68; 9756,000; 2262,000;13824,000;64,81578
1166,06; 9701,000; 2248,000;13803,000;64,50022
1170,44; 9849,000; 2494,000;13961,000;64,14058
1174,81; 9401,000; 2196,000;13387,000;64,38209
