DW901_PLA_FCR_2
Integration time [ms]: 100,000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1204091U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

1014,48; 6888,000; 2159,000; 6686,000;104,46212
1019,01; 7333,000; 2263,000; 7134,000;104,08540
1023,54; 7801,000; 2460,000; 7582,000;104,27567
1028,07; 7937,000; 2357,000; 7740,000;103,65967
1032,59; 8135,000; 2222,000; 7947,000;103,28384
1037,10; 8558,000; 2251,000; 8409,000;102,41962
1041,62; 8900,000; 2335,000; 8775,000;101,94099
1046,12; 9648,000; 2824,000; 9555,000;101,38167
1050,62; 9330,000; 2300,000; 9240,000;101,29683
1055,12; 9441,000; 2181,000; 9387,000;100,74938
1059,62; 9403,000; 2009,000; 9358,000;100,61233
1064,10;10046,000; 2401,000;10031,000;100,19659
1068,59;10408,000; 2570,000;10411,000;99,96174
1073,07;10499,000; 2356,000;10516,000;99,79167
1077,54;10596,000; 2278,000;10631,000;99,58099
1082,01;11007,000; 2486,000;11025,000;99,78920
1086,48;11261,000; 2488,000;11325,000;99,27577
1090,94;10918,000; 2081,000;10975,000;99,35912
1095,39;12187,000; 3026,000;12290,000;98,88817
1099,85;11732,000; 2345,000;11921,000;98,02632
1104,29;12001,000; 2403,000;12226,000;97,70946
1108,73;11794,000; 2060,000;12064,000;97,30108
1113,17;12565,000; 2768,000;12897,000;96,72228
1117,61;12269,000; 2351,000;12709,000;95,75208
1122,03;12676,000; 2714,000;13178,000;95,20260
1126,46;12322,000; 2237,000;12873,000;94,81948
1130,88;12309,000; 2154,000;12946,000;94,09748
1135,29;12952,000; 2780,000;13624,000;93,80302
1139,70;12490,000; 2109,000;13204,000;93,56467
1144,11;12596,000; 2181,000;13375,000;93,04091
1148,51;12667,000; 2244,000;13522,000;92,41887
1152,90;12694,000; 2301,000;13707,000;91,11871
1157,29;12352,000; 2006,000;13470,000;90,24773
1161,68;12571,000; 2262,000;13824,000;89,16277
1166,06;12470,000; 2248,000;13803,000;88,46387
1170,44;12515,000; 2494,000;13961,000;87,38990
1174,81;11965,000; 2196,000;13387,000;87,29336
1179,18;12196,000; 2339,000;13505,000;88,27691
