D_PC_FCR_1
Integration time [ms]: 100,000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1204091U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

1014,48; 8109,000; 2159,000; 6686,000;131,43362
1019,01; 8608,000; 2263,000; 7134,000;130,26073
1023,54; 9117,000; 2460,000; 7582,000;129,96876
1028,07; 9309,000; 2357,000; 7740,000;129,14732
1032,59; 9552,000; 2222,000; 7947,000;128,03493
1037,10;10086,000; 2251,000; 8409,000;127,23287
1041,62;10456,000; 2335,000; 8775,000;126,10248
1046,12;11244,000; 2824,000; 9555,000;125,09285
1050,62;10966,000; 2300,000; 9240,000;124,87032
1055,12;11126,000; 2181,000; 9387,000;124,13267
1059,62;11105,000; 2009,000; 9358,000;123,77194
1064,10;11822,000; 2401,000;10031,000;123,47313
1068,59;12208,000; 2570,000;10411,000;122,91800
1073,07;12357,000; 2356,000;10516,000;122,56127
1077,54;12469,000; 2278,000;10631,000;122,00407
1082,01;12924,000; 2486,000;11025,000;122,23914
1086,48;13193,000; 2488,000;11325,000;121,13840
1090,94;12886,000; 2081,000;10975,000;121,48640
1095,39;14210,000; 3026,000;12290,000;120,72539
1099,85;13798,000; 2345,000;11921,000;119,60109
1104,29;14058,000; 2403,000;12226,000;118,65011
1108,73;13830,000; 2060,000;12064,000;117,65294
1113,17;14517,000; 2768,000;12897,000;115,99368
1117,61;14197,000; 2351,000;12709,000;114,36571
1122,03;14511,000; 2714,000;13178,000;112,73891
1126,46;14071,000; 2237,000;12873,000;111,26363
1130,88;14011,000; 2154,000;12946,000;109,86842
1135,29;14720,000; 2780,000;13624,000;110,10697
1139,70;14370,000; 2109,000;13204,000;110,50924
1144,11;14655,000; 2181,000;13375,000;111,43470
1148,51;14879,000; 2244,000;13522,000;112,03228
1152,90;15085,000; 2301,000;13707,000;112,08136
1157,29;14886,000; 2006,000;13470,000;112,35171
1161,68;15191,000; 2262,000;13824,000;111,82321
1166,06;15093,000; 2248,000;13803,000;111,16400
1170,44;15075,000; 2494,000;13961,000;109,71483
1174,81;14460,000; 2196,000;13387,000;109,58806
1179,18;14539,000; 2339,000;13505,000;109,26025
