D_PETG_FCR_1
Integration time [ms]: 100,000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1204091U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

1014,48; 8970,000; 2159,000; 6686,000;150,45284
1019,01; 9528,000; 2263,000; 7134,000;149,14802
1023,54;10116,000; 2460,000; 7582,000;149,47286
1028,07;10350,000; 2357,000; 7740,000;148,48597
1032,59;10685,000; 2222,000; 7947,000;147,82533
1037,10;11283,000; 2251,000; 8409,000;146,67100
1041,62;11752,000; 2335,000; 8775,000;146,22671
1046,12;12628,000; 2824,000; 9555,000;145,65443
1050,62;12401,000; 2300,000; 9240,000;145,54755
1055,12;12606,000; 2181,000; 9387,000;144,67111
1059,62;12651,000; 2009,000; 9358,000;144,80882
1064,10;13414,000; 2401,000;10031,000;144,33814
1068,59;13886,000; 2570,000;10411,000;144,31833
1073,07;14130,000; 2356,000;10516,000;144,28922
1077,54;14293,000; 2278,000;10631,000;143,84054
1082,01;14783,000; 2486,000;11025,000;144,00984
1086,48;15155,000; 2488,000;11325,000;143,34050
1090,94;14875,000; 2081,000;10975,000;143,84979
1095,39;16305,000; 3026,000;12290,000;143,33981
1099,85;15956,000; 2345,000;11921,000;142,13659
1104,29;16335,000; 2403,000;12226,000;141,83040
1108,73;16201,000; 2060,000;12064,000;141,35346
1113,17;16949,000; 2768,000;12897,000;140,00395
1117,61;16702,000; 2351,000;12709,000;138,54991
1122,03;17104,000; 2714,000;13178,000;137,51911
1126,46;16763,000; 2237,000;12873,000;136,57390
1130,88;16858,000; 2154,000;12946,000;136,24907
1135,29;17676,000; 2780,000;13624,000;137,36629
1139,70;17425,000; 2109,000;13204,000;138,04416
1144,11;17706,000; 2181,000;13375,000;138,69037
1148,51;17905,000; 2244,000;13522,000;138,86327
1152,90;18061,000; 2301,000;13707,000;138,17289
1157,29;17816,000; 2006,000;13470,000;137,90998
1161,68;18116,000; 2262,000;13824,000;137,12161
1166,06;18039,000; 2248,000;13803,000;136,65945
1170,44;18058,000; 2494,000;13961,000;135,72861
1174,81;17372,000; 2196,000;13387,000;135,60897
1179,18;17442,000; 2339,000;13505,000;135,25882
