D_PLA_FCR_1
Integration time [ms]: 100,000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1204091U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

1014,48; 5067,000; 2159,000; 6686,000;64,23680
1019,01; 5354,000; 2263,000; 7134,000;63,45720
1023,54; 5712,000; 2460,000; 7582,000;63,49082
1028,07; 5752,000; 2357,000; 7740,000;63,06892
1032,59; 5808,000; 2222,000; 7947,000;62,63755
1037,10; 6067,000; 2251,000; 8409,000;61,96817
1041,62; 6305,000; 2335,000; 8775,000;61,64596
1046,12; 6944,000; 2824,000; 9555,000;61,20933
1050,62; 6542,000; 2300,000; 9240,000;61,12392
1055,12; 6542,000; 2181,000; 9387,000;60,51901
1059,62; 6443,000; 2009,000; 9358,000;60,33474
1064,10; 7006,000; 2401,000;10031,000;60,35387
1068,59; 7286,000; 2570,000;10411,000;60,14539
1073,07; 7221,000; 2356,000;10516,000;59,62010
1077,54; 7259,000; 2278,000;10631,000;59,63127
1082,01; 7575,000; 2486,000;11025,000;59,59714
1086,48; 7735,000; 2488,000;11325,000;59,37535
1090,94; 7359,000; 2081,000;10975,000;59,34338
1095,39; 8514,000; 3026,000;12290,000;59,24007
1099,85; 7969,000; 2345,000;11921,000;58,73016
1104,29; 8169,000; 2403,000;12226,000;58,69897
1108,73; 7903,000; 2060,000;12064,000;58,40664
1113,17; 8685,000; 2768,000;12897,000;58,41643
1117,61; 8369,000; 2351,000;12709,000;58,10002
1122,03; 8762,000; 2714,000;13178,000;57,79817
1126,46; 8316,000; 2237,000;12873,000;57,15495
1130,88; 8285,000; 2154,000;12946,000;56,81060
1135,29; 8908,000; 2780,000;13624,000;56,51051
1139,70; 8330,000; 2109,000;13204,000;56,07030
1144,11; 8431,000; 2181,000;13375,000;55,83348
1148,51; 8466,000; 2244,000;13522,000;55,16936
1152,90; 8484,000; 2301,000;13707,000;54,20831
1157,29; 8116,000; 2006,000;13470,000;53,29728
1161,68; 8343,000; 2262,000;13824,000;52,59471
1166,06; 8287,000; 2248,000;13803,000;52,26309
1170,44; 8441,000; 2494,000;13961,000;51,86186
1174,81; 8022,000; 2196,000;13387,000;52,05969
