KL204_HDPE_FCR_3
Integration time [ms]: 100,000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1204091U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

1014,48; 6422,000; 2453,000; 7571,000;77,54982
1019,01; 6794,000; 2571,000; 8072,000;76,76786
1023,54; 7195,000; 2760,000; 8557,000;76,50509
1028,07; 7289,000; 2645,000; 8728,000;76,34391
1032,59; 7390,000; 2542,000; 8976,000;75,34970
1037,10; 7759,000; 2552,000; 9493,000;75,01801
1041,62; 8047,000; 2645,000; 9874,000;74,72679
1046,12; 8775,000; 3172,000;10692,000;74,50798
1050,62; 8504,000; 2658,000;10426,000;75,25747
1055,12; 8515,000; 2509,000;10544,000;74,74798
1059,62; 8481,000; 2352,000;10536,000;74,89003
1064,10; 9109,000; 2726,000;11217,000;75,17371
1068,59; 9483,000; 2932,000;11644,000;75,19513
1073,07; 9546,000; 2693,000;11791,000;75,32425
1077,54; 9643,000; 2612,000;11902,000;75,68353
1082,01;10022,000; 2824,000;12356,000;75,51406
1086,48;10260,000; 2801,000;12632,000;75,87224
1090,94; 9957,000; 2380,000;12314,000;76,27340
1095,39;11201,000; 3344,000;13669,000;76,09685
1099,85;10765,000; 2612,000;13309,000;76,21763
1104,29;11065,000; 2682,000;13632,000;76,55708
1108,73;10886,000; 2312,000;13510,000;76,56724
1113,17;11694,000; 3042,000;14359,000;76,45136
1117,61;11498,000; 2646,000;14198,000;76,62742
1122,03;12004,000; 3046,000;14722,000;76,72148
1126,46;11640,000; 2527,000;14400,000;76,75398
1130,88;11707,000; 2466,000;14495,000;76,82268
1135,29;12403,000; 3111,000;15219,000;76,74265
1139,70;11913,000; 2407,000;14793,000;76,74794
1144,11;12018,000; 2489,000;14967,000;76,36640
1148,51;12108,000; 2565,000;15172,000;75,69604
1152,90;12171,000; 2579,000;15293,000;75,44439
1157,29;11853,000; 2339,000;15111,000;74,49107
1161,68;12006,000; 2547,000;15452,000;73,29717
1166,06;11871,000; 2534,000;15403,000;72,55420
1170,44;11988,000; 2810,000;15520,000;72,21086
1174,81;11481,000; 2521,000;14948,000;72,10107
1179,18;11490,000; 2667,000;15071,000;71,13028
