KL603_PS_FCR_1
Integration time [ms]: 100,000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1204091U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

1014,48; 6126,000; 2453,000; 7571,000;71,76631
1019,01; 6449,000; 2571,000; 8072,000;70,49627
1023,54; 6801,000; 2760,000; 8557,000;69,70847
1028,07; 6854,000; 2645,000; 8728,000;69,19283
1032,59; 6917,000; 2542,000; 8976,000;67,99813
1037,10; 7211,000; 2552,000; 9493,000;67,12289
1041,62; 7472,000; 2645,000; 9874,000;66,77272
1046,12; 8124,000; 3172,000;10692,000;65,85106
1050,62; 7761,000; 2658,000;10426,000;65,69258
1055,12; 7738,000; 2509,000;10544,000;65,07778
1059,62; 7653,000; 2352,000;10536,000;64,77273
1064,10; 8210,000; 2726,000;11217,000;64,58603
1068,59; 8548,000; 2932,000;11644,000;64,46281
1073,07; 8496,000; 2693,000;11791,000;63,78325
1077,54; 8535,000; 2612,000;11902,000;63,75673
1082,01; 8852,000; 2824,000;12356,000;63,23961
1086,48; 9001,000; 2801,000;12632,000;63,06581
1090,94; 8622,000; 2380,000;12314,000;62,83471
1095,39; 9790,000; 3344,000;13669,000;62,43099
1099,85; 9215,000; 2612,000;13309,000;61,72759
1104,29; 9398,000; 2682,000;13632,000;61,33333
1108,73; 9122,000; 2312,000;13510,000;60,81443
1113,17; 9875,000; 3042,000;14359,000;60,37819
1117,61; 9535,000; 2646,000;14198,000;59,63470
1122,03; 9973,000; 3046,000;14722,000;59,32682
1126,46; 9507,000; 2527,000;14400,000;58,78885
1130,88; 9511,000; 2466,000;14495,000;58,56680
1135,29;10197,000; 3111,000;15219,000;58,52329
1139,70; 9637,000; 2407,000;14793,000;58,37236
1144,11; 9798,000; 2489,000;14967,000;58,57509
1148,51; 9937,000; 2565,000;15172,000;58,47545
1152,90;10053,000; 2579,000;15293,000;58,78559
1157,29; 9882,000; 2339,000;15111,000;59,05888
1161,68;10172,000; 2547,000;15452,000;59,08563
1166,06;10141,000; 2534,000;15403,000;59,11104
1170,44;10322,000; 2810,000;15520,000;59,10307
1174,81; 9878,000; 2521,000;14948,000;59,20174
