KL919_ABS_FCR_1
Integration time [ms]: 100,000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1204091U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

1014,48; 8251,000; 2159,000; 6686,000;134,57036
1019,01; 8756,000; 2263,000; 7134,000;133,29912
1023,54; 9277,000; 2460,000; 7582,000;133,09254
1028,07; 9462,000; 2357,000; 7740,000;131,98960
1032,59; 9719,000; 2222,000; 7947,000;130,95197
1037,10;10279,000; 2251,000; 8409,000;130,36700
1041,62;10690,000; 2335,000; 8775,000;129,73602
1046,12;11528,000; 2824,000; 9555,000;129,31214
1050,62;11249,000; 2300,000; 9240,000;128,94813
1055,12;11433,000; 2181,000; 9387,000;128,39301
1059,62;11409,000; 2009,000; 9358,000;127,90856
1064,10;12147,000; 2401,000;10031,000;127,73263
1068,59;12540,000; 2570,000;10411,000;127,15215
1073,07;12724,000; 2356,000;10516,000;127,05882
1077,54;12852,000; 2278,000;10631,000;126,58925
1082,01;13328,000; 2486,000;11025,000;126,97037
1086,48;13649,000; 2488,000;11325,000;126,29852
1090,94;13334,000; 2081,000;10975,000;126,52350
1095,39;14692,000; 3026,000;12290,000;125,92832
1099,85;14354,000; 2345,000;11921,000;125,40727
1104,29;14672,000; 2403,000;12226,000;124,90074
1108,73;14572,000; 2060,000;12064,000;125,06997
1113,17;15375,000; 2768,000;12897,000;124,46441
1117,61;15182,000; 2351,000;12709,000;123,87527
1122,03;15637,000; 2714,000;13178,000;123,49962
1126,46;15310,000; 2237,000;12873,000;122,91275
1130,88;15280,000; 2154,000;12946,000;121,62713
1135,29;15893,000; 2780,000;13624,000;120,92401
1139,70;15367,000; 2109,000;13204,000;119,49527
1144,11;15496,000; 2181,000;13375,000;118,94765
1148,51;15705,000; 2244,000;13522,000;119,35627
1152,90;15908,000; 2301,000;13707,000;119,29686
1157,29;15782,000; 2006,000;13470,000;120,16748
1161,68;16125,000; 2262,000;13824,000;119,90140
1166,06;16070,000; 2248,000;13803,000;119,61921
1170,44;16186,000; 2494,000;13961,000;119,40351
1174,81;15536,000; 2196,000;13387,000;119,20293
1179,18;15647,000; 2339,000;13505,000;119,18323
