reference_end_measurement
Integration time [ms]: 100,000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1204091U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

1014,48; 7812,000; 2453,000; 7571,000;104,70887
1019,01; 8277,000; 2571,000; 8072,000;103,72660
1023,54; 8772,000; 2760,000; 8557,000;103,70881
1028,07; 8951,000; 2645,000; 8728,000;103,66595
1032,59; 9143,000; 2542,000; 8976,000;102,59559
1037,10; 9586,000; 2552,000; 9493,000;101,33986
1041,62; 9968,000; 2645,000; 9874,000;101,30032
1046,12;10750,000; 3172,000;10692,000;100,77128
1050,62;10479,000; 2658,000;10426,000;100,68229
1055,12;10569,000; 2509,000;10544,000;100,31114
1059,62;10561,000; 2352,000;10536,000;100,30547
1064,10;11238,000; 2726,000;11217,000;100,24732
1068,59;11579,000; 2932,000;11644,000;99,25390
1073,07;11771,000; 2693,000;11791,000;99,78017
1077,54;11870,000; 2612,000;11902,000;99,65554
1082,01;12308,000; 2824,000;12356,000;99,49643
1086,48;12585,000; 2801,000;12632,000;99,52192
1090,94;12273,000; 2380,000;12314,000;99,58728
1095,39;13617,000; 3344,000;13669,000;99,49637
1099,85;13205,000; 2612,000;13309,000;99,02776
1104,29;13524,000; 2682,000;13632,000;99,01370
1108,73;13386,000; 2312,000;13510,000;98,89266
1113,17;14202,000; 3042,000;14359,000;98,61271
1117,61;14000,000; 2646,000;14198,000;98,28601
1122,03;14548,000; 3046,000;14722,000;98,50976
1126,46;14200,000; 2527,000;14400,000;98,31551
1130,88;14329,000; 2466,000;14495,000;98,62000
1135,29;15025,000; 3111,000;15219,000;98,39775
1139,70;14608,000; 2407,000;14793,000;98,50638
1144,11;14806,000; 2489,000;14967,000;98,70973
1148,51;14950,000; 2565,000;15172,000;98,23907
1152,90;15090,000; 2579,000;15293,000;98,40333
1157,29;14872,000; 2339,000;15111,000;98,12872
1161,68;15198,000; 2547,000;15452,000;98,03177
1166,06;15169,000; 2534,000;15403,000;98,18168
1170,44;15321,000; 2810,000;15520,000;98,43430
1174,81;14775,000; 2521,000;14948,000;98,60787
1179,18;14868,000; 2667,000;15071,000;98,36343
