014_PP_FCR_3
Integration time [ms]: 100,000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1204091U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

1014,48; 9970,000; 2453,000; 7571,000;146,87378
1019,01;10592,000; 2571,000; 8072,000;145,80985
1023,54;11214,000; 2760,000; 8557,000;145,83405
1028,07;11527,000; 2645,000; 8728,000;146,01348
1032,59;11872,000; 2542,000; 8976,000;145,01088
1037,10;12491,000; 2552,000; 9493,000;143,19262
1041,62;13010,000; 2645,000; 9874,000;143,38083
1046,12;13979,000; 3172,000;10692,000;143,71011
1050,62;13757,000; 2658,000;10426,000;142,88105
1055,12;13988,000; 2509,000;10544,000;142,86248
1059,62;14067,000; 2352,000;10536,000;143,14516
1064,10;14853,000; 2726,000;11217,000;142,82181
1068,59;15391,000; 2932,000;11644,000;143,00964
1073,07;15684,000; 2693,000;11791,000;142,78962
1077,54;15924,000; 2612,000;11902,000;143,29386
1082,01;16417,000; 2824,000;12356,000;142,60386
1086,48;16832,000; 2801,000;12632,000;142,72200
1090,94;16617,000; 2380,000;12314,000;143,31588
1095,39;18122,000; 3344,000;13669,000;143,12833
1099,85;17858,000; 2612,000;13309,000;142,52594
1104,29;18272,000; 2682,000;13632,000;142,37443
1108,73;18222,000; 2312,000;13510,000;142,07894
1113,17;19156,000; 3042,000;14359,000;142,38756
1117,61;19009,000; 2646,000;14198,000;141,64647
1122,03;19613,000; 3046,000;14722,000;141,88935
1126,46;19334,000; 2527,000;14400,000;141,55647
1130,88;19487,000; 2466,000;14495,000;141,49971
1135,29;20206,000; 3111,000;15219,000;141,18764
1139,70;19810,000; 2407,000;14793,000;140,50541
1144,11;19944,000; 2489,000;14967,000;139,88620
1148,51;20049,000; 2565,000;15172,000;138,68486
1152,90;20133,000; 2579,000;15293,000;138,06827
1157,29;19903,000; 2339,000;15111,000;137,51957
1161,68;20243,000; 2547,000;15452,000;137,12515
1166,06;20068,000; 2534,000;15403,000;136,24990
1170,44;19988,000; 2810,000;15520,000;135,15342
1174,81;19110,000; 2521,000;14948,000;133,49159
1179,18;19069,000; 2667,000;15071,000;132,23154
