042white_PP_FCR_2
Integration time [ms]: 100,000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1204091U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

1014,48; 9199,000; 2453,000; 7571,000;131,80930
1019,01; 9764,000; 2571,000; 8072,000;130,75804
1023,54;10328,000; 2760,000; 8557,000;130,55028
1028,07;10577,000; 2645,000; 8728,000;130,39619
1032,59;10879,000; 2542,000; 8976,000;129,57725
1037,10;11441,000; 2552,000; 9493,000;128,06512
1041,62;11900,000; 2645,000; 9874,000;128,02601
1046,12;12766,000; 3172,000;10692,000;127,57979
1050,62;12540,000; 2658,000;10426,000;127,21421
1055,12;12715,000; 2509,000;10544,000;127,01929
1059,62;12736,000; 2352,000;10536,000;126,88172
1064,10;13510,000; 2726,000;11217,000;127,00506
1068,59;13989,000; 2932,000;11644,000;126,91690
1073,07;14194,000; 2693,000;11791,000;126,41240
1077,54;14405,000; 2612,000;11902,000;126,94295
1082,01;14862,000; 2824,000;12356,000;126,29039
1086,48;15233,000; 2801,000;12632,000;126,45713
1090,94;14980,000; 2380,000;12314,000;126,83713
1095,39;16407,000; 3344,000;13669,000;126,51816
1099,85;16098,000; 2612,000;13309,000;126,07273
1104,29;16459,000; 2682,000;13632,000;125,81735
1108,73;16388,000; 2312,000;13510,000;125,70102
1113,17;17200,000; 3042,000;14359,000;125,10383
1117,61;17013,000; 2646,000;14198,000;124,36807
1122,03;17537,000; 3046,000;14722,000;124,10928
1126,46;17169,000; 2527,000;14400,000;123,32182
1130,88;17208,000; 2466,000;14495,000;122,55383
1135,29;17830,000; 3111,000;15219,000;121,56426
1139,70;17306,000; 2407,000;14793,000;120,28904
1144,11;17298,000; 2489,000;14967,000;118,68088
1148,51;17234,000; 2565,000;15172,000;116,35599
1152,90;17120,000; 2579,000;15293,000;114,36999
1157,29;16837,000; 2339,000;15111,000;113,51394
1161,68;17057,000; 2547,000;15452,000;112,43704
1166,06;16777,000; 2534,000;15403,000;110,67682
1170,44;16645,000; 2810,000;15520,000;108,85130
1174,81;15788,000; 2521,000;14948,000;106,75948
1179,18;15636,000; 2667,000;15071,000;104,55498
