119_PET_FCR_2
Integration time [ms]: 100,000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1204091U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

1014,48; 6541,000; 2453,000; 7571,000;79,87495
1019,01; 6895,000; 2571,000; 8072,000;78,60389
1023,54; 7289,000; 2760,000; 8557,000;78,12662
1028,07; 7371,000; 2645,000; 8728,000;77,69193
1032,59; 7492,000; 2542,000; 8976,000;76,93503
1037,10; 7804,000; 2552,000; 9493,000;75,66633
1041,62; 8101,000; 2645,000; 9874,000;75,47379
1046,12; 8794,000; 3172,000;10692,000;74,76064
1050,62; 8443,000; 2658,000;10426,000;74,47219
1055,12; 8436,000; 2509,000;10544,000;73,76478
1059,62; 8344,000; 2352,000;10536,000;73,21603
1064,10; 8904,000; 2726,000;11217,000;72,75939
1068,59; 9231,000; 2932,000;11644,000;72,30257
1073,07; 9229,000; 2693,000;11791,000;71,83996
1077,54; 9256,000; 2612,000;11902,000;71,51776
1082,01; 9602,000; 2824,000;12356,000;71,10785
1086,48; 9756,000; 2801,000;12632,000;70,74560
1090,94; 9389,000; 2380,000;12314,000;70,55567
1095,39;10562,000; 3344,000;13669,000;69,90799
1099,85;10008,000; 2612,000;13309,000;69,14088
1104,29;10151,000; 2682,000;13632,000;68,21005
1108,73; 9776,000; 2312,000;13510,000;66,65476
1113,17;10340,000; 3042,000;14359,000;64,48705
1117,61; 9835,000; 2646,000;14198,000;62,23165
1122,03;10066,000; 3046,000;14722,000;60,12333
1126,46; 9413,000; 2527,000;14400,000;57,99714
1130,88; 9412,000; 2466,000;14495,000;57,74379
1135,29;10254,000; 3111,000;15219,000;58,99405
1139,70; 9925,000; 2407,000;14793,000;60,69756
1144,11;10177,000; 2489,000;14967,000;61,61244
1148,51;10268,000; 2565,000;15172,000;61,10098
1152,90;10286,000; 2579,000;15293,000;60,61822
1157,29; 9965,000; 2339,000;15111,000;59,70874
1161,68;10216,000; 2547,000;15452,000;59,42658
1166,06;10056,000; 2534,000;15403,000;58,45054
1170,44;10186,000; 2810,000;15520,000;58,03304
1174,81; 9707,000; 2521,000;14948,000;57,82570
