216_HDPE_FCR_1
Integration time [ms]: 100,000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1204091U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

1014,48; 6300,000; 2453,000; 7571,000;75,16608
1019,01; 6671,000; 2571,000; 8072,000;74,53190
1023,54; 7065,000; 2760,000; 8557,000;74,26255
1028,07; 7165,000; 2645,000; 8728,000;74,30544
1032,59; 7301,000; 2542,000; 8976,000;73,96643
1037,10; 7638,000; 2552,000; 9493,000;73,27474
1041,62; 7945,000; 2645,000; 9874,000;73,31581
1046,12; 8682,000; 3172,000;10692,000;73,27128
1050,62; 8342,000; 2658,000;10426,000;73,17199
1055,12; 8388,000; 2509,000;10544,000;73,16739
1059,62; 8367,000; 2352,000;10536,000;73,49707
1064,10; 8976,000; 2726,000;11217,000;73,60735
1068,59; 9373,000; 2932,000;11644,000;73,93251
1073,07; 9427,000; 2693,000;11791,000;74,01627
1077,54; 9496,000; 2612,000;11902,000;74,10118
1082,01; 9879,000; 2824,000;12356,000;74,01385
1086,48;10106,000; 2801,000;12632,000;74,30577
1090,94; 9774,000; 2380,000;12314,000;74,43125
1095,39;11039,000; 3344,000;13669,000;74,52785
1099,85;10588,000; 2612,000;13309,000;74,56296
1104,29;10877,000; 2682,000;13632,000;74,84018
1108,73;10687,000; 2312,000;13510,000;74,79014
1113,17;11521,000; 3042,000;14359,000;74,92268
1117,61;11287,000; 2646,000;14198,000;74,80090
1122,03;11820,000; 3046,000;14722,000;75,14560
1126,46;11434,000; 2527,000;14400,000;75,01895
1130,88;11477,000; 2466,000;14495,000;74,91063
1135,29;12156,000; 3111,000;15219,000;74,70268
1139,70;11639,000; 2407,000;14793,000;74,53577
1144,11;11728,000; 2489,000;14967,000;74,04231
1148,51;11791,000; 2565,000;15172,000;73,18157
1152,90;11874,000; 2579,000;15293,000;73,10838
1157,29;11498,000; 2339,000;15111,000;71,71156
1161,68;11673,000; 2547,000;15452,000;70,71678
1166,06;11486,000; 2534,000;15403,000;69,56251
1170,44;11591,000; 2810,000;15520,000;69,08733
1174,81;11067,000; 2521,000;14948,000;68,76961
1179,18;11069,000; 2667,000;15071,000;67,73621
