306_PS_FCR_2
Integration time [ms]: 100,000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1204091U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

1014,48; 9516,000; 2453,000; 7571,000;138,00313
1019,01;10088,000; 2571,000; 8072,000;136,64788
1023,54;10673,000; 2760,000; 8557,000;136,50164
1028,07;10920,000; 2645,000; 8728,000;136,03485
1032,59;11252,000; 2542,000; 8976,000;135,37457
1037,10;11826,000; 2552,000; 9493,000;133,61187
1041,62;12282,000; 2645,000; 9874,000;133,31028
1046,12;13182,000; 3172,000;10692,000;133,11170
1050,62;12956,000; 2658,000;10426,000;132,56952
1055,12;13124,000; 2509,000;10544,000;132,10952
1059,62;13181,000; 2352,000;10536,000;132,31916
1064,10;13971,000; 2726,000;11217,000;132,43434
1068,59;14451,000; 2932,000;11644,000;132,21993
1073,07;14686,000; 2693,000;11791,000;131,82018
1077,54;14874,000; 2612,000;11902,000;131,99139
1082,01;15384,000; 2824,000;12356,000;131,76668
1086,48;15741,000; 2801,000;12632,000;131,62445
1090,94;15525,000; 2380,000;12314,000;132,32333
1095,39;16919,000; 3344,000;13669,000;131,47700
1099,85;16635,000; 2612,000;13309,000;131,09283
1104,29;16998,000; 2682,000;13632,000;130,73973
1108,73;16858,000; 2312,000;13510,000;129,89820
1113,17;17648,000; 3042,000;14359,000;129,06247
1117,61;17395,000; 2646,000;14198,000;127,67486
1122,03;17735,000; 3046,000;14722,000;125,80507
1126,46;17151,000; 2527,000;14400,000;123,17022
1130,88;16895,000; 2466,000;14495,000;119,95178
1135,29;17188,000; 3111,000;15219,000;116,26198
1139,70;16441,000; 2407,000;14793,000;113,30534
1144,11;16521,000; 2489,000;14967,000;112,45392
1148,51;16917,000; 2565,000;15172,000;113,84152
1152,90;17485,000; 2579,000;15293,000;117,24084
1157,29;17696,000; 2339,000;15111,000;120,23959
1161,68;18340,000; 2547,000;15452,000;122,37892
1166,06;18400,000; 2534,000;15403,000;123,28852
1170,44;18576,000; 2810,000;15520,000;124,04406
1174,81;17966,000; 2521,000;14948,000;124,28583
1179,18;18100,000; 2667,000;15071,000;124,41954
