3mm_PMMA_FCR_1
Integration time [ms]: 100,000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1204091U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

1014,48;11475,000; 2159,000; 6686,000;205,78750
1019,01;12245,000; 2263,000; 7134,000;204,92712
1023,54;12953,000; 2460,000; 7582,000;204,86138
1028,07;13330,000; 2357,000; 7740,000;203,84544
1032,59;13848,000; 2222,000; 7947,000;203,07424
1037,10;14687,000; 2251,000; 8409,000;201,94868
1041,62;15328,000; 2335,000; 8775,000;201,75466
1046,12;16392,000; 2824,000; 9555,000;201,57480
1050,62;16321,000; 2300,000; 9240,000;202,03170
1055,12;16678,000; 2181,000; 9387,000;201,17957
1059,62;16855,000; 2009,000; 9358,000;202,01388
1064,10;17770,000; 2401,000;10031,000;201,42857
1068,59;18338,000; 2570,000;10411,000;201,09680
1073,07;18774,000; 2356,000;10516,000;201,20098
1077,54;19067,000; 2278,000;10631,000;200,99365
1082,01;19699,000; 2486,000;11025,000;201,58098
1086,48;20177,000; 2488,000;11325,000;200,16974
1090,94;19955,000; 2081,000;10975,000;200,96694
1095,39;21507,000; 3026,000;12290,000;199,49266
1099,85;21299,000; 2345,000;11921,000;197,93233
1104,29;21661,000; 2403,000;12226,000;196,05009
1108,73;21556,000; 2060,000;12064,000;194,88205
1113,17;22239,000; 2768,000;12897,000;192,23023
1117,61;21943,000; 2351,000;12709,000;189,14848
1122,03;22115,000; 2714,000;13178,000;185,40711
1126,46;21486,000; 2237,000;12873,000;180,97969
1130,88;21194,000; 2154,000;12946,000;176,42698
1135,29;21509,000; 2780,000;13624,000;172,71302
1139,70;20773,000; 2109,000;13204,000;168,21992
1144,11;20615,000; 2181,000;13375,000;164,67751
1148,51;20401,000; 2244,000;13522,000;160,99486
1152,90;20053,000; 2301,000;13707,000;155,63738
1157,29;19324,000; 2006,000;13470,000;151,06420
1161,68;19268,000; 2262,000;13824,000;147,08528
1166,06;18903,000; 2248,000;13803,000;144,13674
1170,44;18802,000; 2494,000;13961,000;142,21680
1174,81;18190,000; 2196,000;13387,000;142,91842
1179,18;18786,000; 2339,000;13505,000;147,29536
