4mm_PS_FCR_3
Integration time [ms]: 100,000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1204091U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

1014,48;13922,000; 2159,000; 6686,000;259,84095
1019,01;14816,000; 2263,000; 7134,000;257,70889
1023,54;15633,000; 2460,000; 7582,000;257,18469
1028,07;16155,000; 2357,000; 7740,000;256,32547
1032,59;16774,000; 2222,000; 7947,000;254,18341
1037,10;17809,000; 2251,000; 8409,000;252,64696
1041,62;18572,000; 2335,000; 8775,000;252,12733
1046,12;19726,000; 2824,000; 9555,000;251,10682
1050,62;19747,000; 2300,000; 9240,000;251,39769
1055,12;20251,000; 2181,000; 9387,000;250,76325
1059,62;20478,000; 2009,000; 9358,000;251,31310
1064,10;21516,000; 2401,000;10031,000;250,52425
1068,59;22215,000; 2570,000;10411,000;250,54202
1073,07;22821,000; 2356,000;10516,000;250,79657
1077,54;23207,000; 2278,000;10631,000;250,55669
1082,01;23939,000; 2486,000;11025,000;251,23551
1086,48;24556,000; 2488,000;11325,000;249,72276
1090,94;24363,000; 2081,000;10975,000;250,52845
1095,39;26038,000; 3026,000;12290,000;248,40242
1099,85;25997,000; 2345,000;11921,000;246,99248
1104,29;26409,000; 2403,000;12226,000;244,38563
1108,73;26350,000; 2060,000;12064,000;242,80288
1113,17;26971,000; 2768,000;12897,000;238,94758
1117,61;26429,000; 2351,000;12709,000;232,45800
1122,03;26250,000; 2714,000;13178,000;224,92355
1126,46;24834,000; 2237,000;12873,000;212,45769
1130,88;23209,000; 2154,000;12946,000;195,09822
1135,29;21883,000; 2780,000;13624,000;176,16193
1139,70;19820,000; 2109,000;13204,000;159,63046
1144,11;19611,000; 2181,000;13375,000;155,70842
1148,51;20841,000; 2244,000;13522,000;164,89626
1152,90;23080,000; 2301,000;13707,000;182,17605
1157,29;25163,000; 2006,000;13470,000;201,99756
1161,68;27112,000; 2262,000;13824,000;214,92821
1166,06;27783,000; 2248,000;13803,000;220,98659
1170,44;28252,000; 2494,000;13961,000;224,62719
1174,81;27544,000; 2196,000;13387,000;226,50344
1179,18;27603,000; 2339,000;13505,000;226,25828
