924_ABS_FCR_2
Integration time [ms]: 100,000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1204091U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

1014,48;10070,000; 2159,000; 6686,000;174,75149
1019,01;10710,000; 2263,000; 7134,000;173,41408
1023,54;11359,000; 2460,000; 7582,000;173,74073
1028,07;11688,000; 2357,000; 7740,000;173,34200
1032,59;12084,000; 2222,000; 7947,000;172,26201
1037,10;12789,000; 2251,000; 8409,000;171,12699
1041,62;13305,000; 2335,000; 8775,000;170,34161
1046,12;14261,000; 2824,000; 9555,000;169,91532
1050,62;14066,000; 2300,000; 9240,000;169,53890
1055,12;14372,000; 2181,000; 9387,000;169,17846
1059,62;14440,000; 2009,000; 9358,000;169,15227
1064,10;15254,000; 2401,000;10031,000;168,45347
1068,59;15774,000; 2570,000;10411,000;168,39689
1073,07;16095,000; 2356,000;10516,000;168,37010
1077,54;16314,000; 2278,000;10631,000;168,03544
1082,01;16848,000; 2486,000;11025,000;168,19300
1086,48;17265,000; 2488,000;11325,000;167,21738
1090,94;16959,000; 2081,000;10975,000;167,28131
1095,39;18435,000; 3026,000;12290,000;166,33204
1099,85;18187,000; 2345,000;11921,000;165,43442
1104,29;18562,000; 2403,000;12226,000;164,50168
1108,73;18482,000; 2060,000;12064,000;164,15434
1113,17;19255,000; 2768,000;12897,000;162,77026
1117,61;19033,000; 2351,000;12709,000;161,05426
1122,03;19441,000; 2714,000;13178,000;159,85283
1126,46;18957,000; 2237,000;12873,000;157,20196
1130,88;18737,000; 2154,000;12946,000;153,66012
1135,29;19077,000; 2780,000;13624,000;150,28587
1139,70;18446,000; 2109,000;13204,000;147,24651
1144,11;18578,000; 2181,000;13375,000;146,48026
1148,51;18936,000; 2244,000;13522,000;148,00497
1152,90;19378,000; 2301,000;13707,000;149,71945
1157,29;19462,000; 2006,000;13470,000;152,26797
1161,68;19983,000; 2262,000;13824,000;153,26933
1166,06;19909,000; 2248,000;13803,000;152,84293
1170,44;19944,000; 2494,000;13961,000;152,17581
1174,81;19207,000; 2196,000;13387,000;152,00608
1179,18;19245,000; 2339,000;13505,000;151,40605
