927_PVC_FCR_1
Integration time [ms]: 100,000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1204091U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

1014,48; 8277,000; 2159,000; 6686,000;135,14469
1019,01; 8767,000; 2263,000; 7134,000;133,52494
1023,54; 9286,000; 2460,000; 7582,000;133,26825
1028,07; 9479,000; 2357,000; 7740,000;132,30541
1032,59; 9754,000; 2222,000; 7947,000;131,56332
1037,10;10300,000; 2251,000; 8409,000;130,70802
1041,62;10717,000; 2335,000; 8775,000;130,15528
1046,12;11547,000; 2824,000; 9555,000;129,59441
1050,62;11245,000; 2300,000; 9240,000;128,89049
1055,12;11447,000; 2181,000; 9387,000;128,58729
1059,62;11436,000; 2009,000; 9358,000;128,27596
1064,10;12172,000; 2401,000;10031,000;128,06029
1068,59;12595,000; 2570,000;10411,000;127,85359
1073,07;12784,000; 2356,000;10516,000;127,79412
1077,54;12903,000; 2278,000;10631,000;127,19981
1082,01;13352,000; 2486,000;11025,000;127,25143
1086,48;13700,000; 2488,000;11325,000;126,87564
1090,94;13409,000; 2081,000;10975,000;127,36676
1095,39;14756,000; 3026,000;12290,000;126,61917
1099,85;14381,000; 2345,000;11921,000;125,68922
1104,29;14694,000; 2403,000;12226,000;125,12471
1108,73;14560,000; 2060,000;12064,000;124,95002
1113,17;15426,000; 2768,000;12897,000;124,96791
1117,61;15266,000; 2351,000;12709,000;124,68623
1122,03;15736,000; 2714,000;13178,000;124,44572
1126,46;15489,000; 2237,000;12873,000;124,59571
1130,88;15562,000; 2154,000;12946,000;124,24018
1135,29;16373,000; 2780,000;13624,000;125,35042
1139,70;16013,000; 2109,000;13204,000;125,31771
1144,11;16146,000; 2181,000;13375,000;124,75433
1148,51;16358,000; 2244,000;13522,000;125,14630
1152,90;16489,000; 2301,000;13707,000;124,39067
1157,29;16264,000; 2006,000;13470,000;124,37195
1161,68;16642,000; 2262,000;13824,000;124,37295
1166,06;16587,000; 2248,000;13803,000;124,09347
1170,44;16671,000; 2494,000;13961,000;123,63303
1174,81;16168,000; 2196,000;13387,000;124,85033
1179,18;16240,000; 2339,000;13505,000;124,49400
