A_PACF_FCR_1
Integration time [ms]: 100,000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1204091U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

1014,48; 4275,000; 2159,000; 6686,000;46,74177
1019,01; 4483,000; 2263,000; 7134,000;45,57586
1023,54; 4791,000; 2460,000; 7582,000;45,50957
1028,07; 4768,000; 2357,000; 7740,000;44,78915
1032,59; 4776,000; 2222,000; 7947,000;44,61135
1037,10; 4965,000; 2251,000; 8409,000;44,07275
1041,62; 5157,000; 2335,000; 8775,000;43,81988
1046,12; 5737,000; 2824,000; 9555,000;43,27737
1050,62; 5302,000; 2300,000; 9240,000;43,25648
1055,12; 5274,000; 2181,000; 9387,000;42,92256
1059,62; 5152,000; 2009,000; 9358,000;42,76772
1064,10; 5650,000; 2401,000;10031,000;42,58191
1068,59; 5896,000; 2570,000;10411,000;42,41806
1073,07; 5797,000; 2356,000;10516,000;42,16912
1077,54; 5789,000; 2278,000;10631,000;42,03280
1082,01; 6048,000; 2486,000;11025,000;41,71449
1086,48; 6169,000; 2488,000;11325,000;41,65441
1090,94; 5778,000; 2081,000;10975,000;41,56735
1095,39; 6892,000; 3026,000;12290,000;41,73143
1099,85; 6302,000; 2345,000;11921,000;41,32206
1104,29; 6472,000; 2403,000;12226,000;41,42319
1108,73; 6200,000; 2060,000;12064,000;41,38345
1113,17; 6983,000; 2768,000;12897,000;41,61319
1117,61; 6660,000; 2351,000;12709,000;41,60070
1122,03; 7077,000; 2714,000;13178,000;41,69534
1126,46; 6648,000; 2237,000;12873,000;41,47236
1130,88; 6636,000; 2154,000;12946,000;41,53076
1135,29; 7301,000; 2780,000;13624,000;41,69126
1139,70; 6682,000; 2109,000;13204,000;41,21676
1144,11; 6794,000; 2181,000;13375,000;41,20958
1148,51; 6900,000; 2244,000;13522,000;41,28392
1152,90; 6992,000; 2301,000;13707,000;41,12748
1157,29; 6730,000; 2006,000;13470,000;41,20726
1161,68; 7031,000; 2262,000;13824,000;41,24719
1166,06; 7025,000; 2248,000;13803,000;41,34141
1170,44; 7270,000; 2494,000;13961,000;41,64995
1174,81; 6868,000; 2196,000;13387,000;41,74783
