A_PC_FCR_1
Integration time [ms]: 100,000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1204091U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

1014,48; 5916,000; 2159,000; 6686,000;82,99094
1019,01; 6264,000; 2263,000; 7134,000;82,13919
1023,54; 6656,000; 2460,000; 7582,000;81,92112
1028,07; 6729,000; 2357,000; 7740,000;81,21865
1032,59; 6851,000; 2222,000; 7947,000;80,85590
1037,10; 7184,000; 2251,000; 8409,000;80,10718
1041,62; 7450,000; 2335,000; 8775,000;79,42547
1046,12; 8110,000; 2824,000; 9555,000;78,53216
1050,62; 7750,000; 2300,000; 9240,000;78,53026
1055,12; 7801,000; 2181,000; 9387,000;77,99056
1059,62; 7720,000; 2009,000; 9358,000;77,71125
1064,10; 8307,000; 2401,000;10031,000;77,40498
1068,59; 8617,000; 2570,000;10411,000;77,12027
1073,07; 8625,000; 2356,000;10516,000;76,82598
1077,54; 8680,000; 2278,000;10631,000;76,64312
1082,01; 9008,000; 2486,000;11025,000;76,37897
1086,48; 9189,000; 2488,000;11325,000;75,82890
1090,94; 8822,000; 2081,000;10975,000;75,79267
1095,39;10002,000; 3026,000;12290,000;75,30225
1099,85; 9478,000; 2345,000;11921,000;74,48830
1104,29; 9648,000; 2403,000;12226,000;73,75547
1108,73; 9336,000; 2060,000;12064,000;72,73091
1113,17;10011,000; 2768,000;12897,000;71,50755
1117,61; 9585,000; 2351,000;12709,000;69,83974
1122,03; 9853,000; 2714,000;13178,000;68,22439
1126,46; 9322,000; 2237,000;12873,000;66,61339
1130,88; 9204,000; 2154,000;12946,000;65,32617
1135,29; 9855,000; 2780,000;13624,000;65,24345
1139,70; 9420,000; 2109,000;13204,000;65,89455
1144,11; 9670,000; 2181,000;13375,000;66,90191
1148,51; 9861,000; 2244,000;13522,000;67,53857
1152,90;10044,000; 2301,000;13707,000;67,88532
1157,29; 9821,000; 2006,000;13470,000;68,16992
1161,68;10090,000; 2262,000;13824,000;67,70455
1166,06; 9975,000; 2248,000;13803,000;66,87148
1170,44;10078,000; 2494,000;13961,000;66,13761
1174,81; 9544,000; 2196,000;13387,000;65,65991
