B_ASA_FCR_1
Integration time [ms]: 100,000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1204091U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

1014,48; 7178,000; 2159,000; 6686,000;110,86812
1019,01; 7624,000; 2263,000; 7134,000;110,05954
1023,54; 8082,000; 2460,000; 7582,000;109,76181
1028,07; 8223,000; 2357,000; 7740,000;108,97269
1032,59; 8425,000; 2222,000; 7947,000;108,34934
1037,10; 8843,000; 2251,000; 8409,000;107,04774
1041,62; 9172,000; 2335,000; 8775,000;106,16460
1046,12; 9961,000; 2824,000; 9555,000;106,03179
1050,62; 9623,000; 2300,000; 9240,000;105,51873
1055,12; 9746,000; 2181,000; 9387,000;104,98196
1059,62; 9717,000; 2009,000; 9358,000;104,88502
1064,10;10364,000; 2401,000;10031,000;104,36435
1068,59;10732,000; 2570,000;10411,000;104,09387
1073,07;10837,000; 2356,000;10516,000;103,93382
1077,54;10929,000; 2278,000;10631,000;103,56758
1082,01;11338,000; 2486,000;11025,000;103,66553
1086,48;11602,000; 2488,000;11325,000;103,13455
1090,94;11252,000; 2081,000;10975,000;103,11446
1095,39;12562,000; 3026,000;12290,000;102,93610
1099,85;12142,000; 2345,000;11921,000;102,30785
1104,29;12393,000; 2403,000;12226,000;101,70009
1108,73;12173,000; 2060,000;12064,000;101,08956
1113,17;12888,000; 2768,000;12897,000;99,91115
1117,61;12553,000; 2351,000;12709,000;98,49392
1122,03;12851,000; 2714,000;13178,000;96,87500
1126,46;12322,000; 2237,000;12873,000;94,81948
1130,88;12110,000; 2154,000;12946,000;92,25352
1135,29;12570,000; 2780,000;13624,000;90,28034
1139,70;11892,000; 2109,000;13204,000;88,17485
1144,11;12011,000; 2181,000;13375,000;87,81490
1148,51;12283,000; 2244,000;13522,000;89,01401
1152,90;12621,000; 2301,000;13707,000;90,47870
1157,29;12579,000; 2006,000;13470,000;92,22784
1161,68;13020,000; 2262,000;13824,000;93,04619
1166,06;13033,000; 2248,000;13803,000;93,33622
1170,44;13139,000; 2494,000;13961,000;92,83160
1174,81;12526,000; 2196,000;13387,000;92,30632
1179,18;12545,000; 2339,000;13505,000;91,40247
