B_PCCF_FCR_1
Integration time [ms]: 100,000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1204091U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

1014,48; 4129,000; 2159,000; 6686,000;43,51668
1019,01; 4328,000; 2263,000; 7134,000;42,39376
1023,54; 4620,000; 2460,000; 7582,000;42,17103
1028,07; 4587,000; 2357,000; 7740,000;41,42671
1032,59; 4576,000; 2222,000; 7947,000;41,11790
1037,10; 4714,000; 2251,000; 8409,000;39,99675
1041,62; 4908,000; 2335,000; 8775,000;39,95342
1046,12; 5468,000; 2824,000; 9555,000;39,28094
1050,62; 5005,000; 2300,000; 9240,000;38,97695
1055,12; 4962,000; 2181,000; 9387,000;38,59284
1059,62; 4851,000; 2009,000; 9358,000;38,67193
1064,10; 5334,000; 2401,000;10031,000;38,44037
1068,59; 5592,000; 2570,000;10411,000;38,54100
1073,07; 5466,000; 2356,000;10516,000;38,11275
1077,54; 5445,000; 2278,000;10631,000;37,91452
1082,01; 5723,000; 2486,000;11025,000;37,90842
1086,48; 5807,000; 2488,000;11325,000;37,55799
1090,94; 5422,000; 2081,000;10975,000;37,56465
1095,39; 6515,000; 3026,000;12290,000;37,66192
1099,85; 5900,000; 2345,000;11921,000;37,12406
1104,29; 6079,000; 2403,000;12226,000;37,42238
1108,73; 5775,000; 2060,000;12064,000;37,13515
1113,17; 6539,000; 2768,000;12897,000;37,22974
1117,61; 6197,000; 2351,000;12709,000;37,13072
1122,03; 6634,000; 2714,000;13178,000;37,46177
1126,46; 6193,000; 2237,000;12873,000;37,19443
1130,88; 6179,000; 2154,000;12946,000;37,29615
1135,29; 6821,000; 2780,000;13624,000;37,26485
1139,70; 6208,000; 2109,000;13204,000;36,94457
1144,11; 6323,000; 2181,000;13375,000;37,00197
1148,51; 6420,000; 2244,000;13522,000;37,02784
1152,90; 6501,000; 2301,000;13707,000;36,82272
1157,29; 6240,000; 2006,000;13470,000;36,93301
1161,68; 6536,000; 2262,000;13824,000;36,96592
1166,06; 6517,000; 2248,000;13803,000;36,94505
1170,44; 6750,000; 2494,000;13961,000;37,11520
1174,81; 6372,000; 2196,000;13387,000;37,31570
