B_PC_FCR_1
Integration time [ms]: 100,000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1204091U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

1014,48; 8502,000; 2159,000; 6686,000;140,11487
1019,01; 9055,000; 2263,000; 7134,000;139,43749
1023,54; 9595,000; 2460,000; 7582,000;139,30105
1028,07; 9793,000; 2357,000; 7740,000;138,13858
1032,59;10063,000; 2222,000; 7947,000;136,96070
1037,10;10633,000; 2251,000; 8409,000;136,11562
1041,62;11057,000; 2335,000; 8775,000;135,43478
1046,12;11919,000; 2824,000; 9555,000;135,12108
1050,62;11656,000; 2300,000; 9240,000;134,81268
1055,12;11831,000; 2181,000; 9387,000;133,91618
1059,62;11870,000; 2009,000; 9358,000;134,18152
1064,10;12598,000; 2401,000;10031,000;133,64351
1068,59;13029,000; 2570,000;10411,000;133,38860
1073,07;13214,000; 2356,000;10516,000;133,06373
1077,54;13363,000; 2278,000;10631,000;132,70681
1082,01;13803,000; 2486,000;11025,000;132,53308
1086,48;14139,000; 2488,000;11325,000;131,84339
1090,94;13794,000; 2081,000;10975,000;131,69553
1095,39;15109,000; 3026,000;12290,000;130,42962
1099,85;14739,000; 2345,000;11921,000;129,42774
1104,29;15013,000; 2403,000;12226,000;128,37219
1108,73;14803,000; 2060,000;12064,000;127,37905
1113,17;15515,000; 2768,000;12897,000;125,84658
1117,61;15238,000; 2351,000;12709,000;124,41591
1122,03;15575,000; 2714,000;13178,000;122,90711
1126,46;15144,000; 2237,000;12873,000;121,35201
1130,88;15123,000; 2154,000;12946,000;120,17235
1135,29;15849,000; 2780,000;13624,000;120,51826
1139,70;15555,000; 2109,000;13204,000;121,18973
1144,11;15831,000; 2181,000;13375,000;121,94033
1148,51;16098,000; 2244,000;13522,000;122,84093
1152,90;16317,000; 2301,000;13707,000;122,88269
1157,29;16138,000; 2006,000;13470,000;123,27285
1161,68;16425,000; 2262,000;13824,000;122,49611
1166,06;16345,000; 2248,000;13803,000;121,99913
1170,44;16351,000; 2494,000;13961,000;120,84242
1174,81;15702,000; 2196,000;13387,000;120,68627
1179,18;15741,000; 2339,000;13505,000;120,02508
