B_PETG_FCR_1
Integration time [ms]: 100,000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1204091U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

1014,48; 9465,000; 2159,000; 6686,000;161,38723
1019,01;10088,000; 2263,000; 7134,000;160,64463
1023,54;10682,000; 2460,000; 7582,000;160,52323
1028,07;10971,000; 2357,000; 7740,000;160,02229
1032,59;11343,000; 2222,000; 7947,000;159,31878
1037,10;12006,000; 2251,000; 8409,000;158,41182
1041,62;12510,000; 2335,000; 8775,000;157,99689
1046,12;13423,000; 2824,000; 9555,000;157,46546
1050,62;13225,000; 2300,000; 9240,000;157,42075
1055,12;13479,000; 2181,000; 9387,000;156,78601
1059,62;13521,000; 2009,000; 9358,000;156,64716
1064,10;14333,000; 2401,000;10031,000;156,38270
1068,59;14787,000; 2570,000;10411,000;155,80921
1073,07;15052,000; 2356,000;10516,000;155,58824
1077,54;15249,000; 2278,000;10631,000;155,28553
1082,01;15760,000; 2486,000;11025,000;155,45146
1086,48;16152,000; 2488,000;11325,000;154,62261
1090,94;15881,000; 2081,000;10975,000;155,16078
1095,39;17314,000; 3026,000;12290,000;154,23143
1099,85;17030,000; 2345,000;11921,000;153,35213
1104,29;17402,000; 2403,000;12226,000;152,69266
1108,73;17288,000; 2060,000;12064,000;152,21911
1113,17;18098,000; 2768,000;12897,000;151,34762
1117,61;17889,000; 2351,000;12709,000;150,00965
1122,03;18283,000; 2714,000;13178,000;148,78631
1126,46;17989,000; 2237,000;12873,000;148,10079
1130,88;18088,000; 2154,000;12946,000;147,64640
1135,29;18931,000; 2780,000;13624,000;148,93951
1139,70;18770,000; 2109,000;13204,000;150,16674
1144,11;19059,000; 2181,000;13375,000;150,77720
1148,51;19268,000; 2244,000;13522,000;150,94875
1152,90;19446,000; 2301,000;13707,000;150,31562
1157,29;19213,000; 2006,000;13470,000;150,09595
1161,68;19507,000; 2262,000;13824,000;149,15240
1166,06;19419,000; 2248,000;13803,000;148,60234
1170,44;19434,000; 2494,000;13961,000;147,72826
1174,81;18695,000; 2196,000;13387,000;147,43097
1179,18;18756,000; 2339,000;13505,000;147,02669
