B_PLA_FCR_1
Integration time [ms]: 100,000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1204091U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

1014,48; 5940,000; 2159,000; 6686,000;83,52110
1019,01; 6301,000; 2263,000; 7134,000;82,89879
1023,54; 6699,000; 2460,000; 7582,000;82,76064
1028,07; 6792,000; 2357,000; 7740,000;82,38900
1032,59; 6889,000; 2222,000; 7947,000;81,51965
1037,10; 7254,000; 2251,000; 8409,000;81,24391
1041,62; 7544,000; 2335,000; 8775,000;80,88509
1046,12; 8251,000; 2824,000; 9555,000;80,62695
1050,62; 7854,000; 2300,000; 9240,000;80,02882
1055,12; 7934,000; 2181,000; 9387,000;79,83625
1059,62; 7865,000; 2009,000; 9358,000;79,68431
1064,10; 8502,000; 2401,000;10031,000;79,96068
1068,59; 8779,000; 2570,000;10411,000;79,18633
1073,07; 8791,000; 2356,000;10516,000;78,86029
1077,54; 8843,000; 2278,000;10631,000;78,59452
1082,01; 9190,000; 2486,000;11025,000;78,51036
1086,48; 9415,000; 2488,000;11325,000;78,38633
1090,94; 9033,000; 2081,000;10975,000;78,16506
1095,39;10255,000; 3026,000;12290,000;78,03325
1099,85; 9765,000; 2345,000;11921,000;77,48538
1104,29;10019,000; 2403,000;12226,000;77,53232
1108,73; 9763,000; 2060,000;12064,000;76,99920
1113,17;10576,000; 2768,000;12897,000;77,08560
1117,61;10299,000; 2351,000;12709,000;76,73296
1122,03;10706,000; 2714,000;13178,000;76,37615
1126,46;10303,000; 2237,000;12873,000;75,83678
1130,88;10247,000; 2154,000;12946,000;74,99073
1135,29;10890,000; 2780,000;13624,000;74,78790
1139,70;10347,000; 2109,000;13204,000;74,24966
1144,11;10449,000; 2181,000;13375,000;73,86100
1148,51;10527,000; 2244,000;13522,000;73,44387
1152,90;10533,000; 2301,000;13707,000;72,17254
1157,29;10165,000; 2006,000;13470,000;71,17062
1161,68;10387,000; 2262,000;13824,000;70,27331
1166,06;10346,000; 2248,000;13803,000;70,08222
1170,44;10473,000; 2494,000;13961,000;69,58228
1174,81; 9990,000; 2196,000;13387,000;69,64525
