C_ASA_FCR_1
Integration time [ms]: 100,000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1204091U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

1014,48; 7584,000; 2159,000; 6686,000;119,83654
1019,01; 8051,000; 2263,000; 7134,000;118,82570
1023,54; 8487,000; 2460,000; 7582,000;117,66888
1028,07; 8674,000; 2357,000; 7740,000;117,35092
1032,59; 8891,000; 2222,000; 7947,000;116,48908
1037,10; 9356,000; 2251,000; 8409,000;115,37837
1041,62; 9735,000; 2335,000; 8775,000;114,90683
1046,12;10527,000; 2824,000; 9555,000;114,44065
1050,62;10229,000; 2300,000; 9240,000;114,25072
1055,12;10371,000; 2181,000; 9387,000;113,65529
1059,62;10370,000; 2009,000; 9358,000;113,77058
1064,10;11055,000; 2401,000;10031,000;113,42071
1068,59;11467,000; 2570,000;10411,000;113,46767
1073,07;11598,000; 2356,000;10516,000;113,25980
1077,54;11703,000; 2278,000;10631,000;112,83371
1082,01;12131,000; 2486,000;11025,000;112,95234
1086,48;12425,000; 2488,000;11325,000;112,44766
1090,94;12113,000; 2081,000;10975,000;112,79514
1095,39;13401,000; 3026,000;12290,000;111,99266
1099,85;12997,000; 2345,000;11921,000;111,23642
1104,29;13287,000; 2403,000;12226,000;110,80118
1108,73;13098,000; 2060,000;12064,000;110,33587
1113,17;13840,000; 2768,000;12897,000;109,30990
1117,61;13508,000; 2351,000;12709,000;107,71384
1122,03;13854,000; 2714,000;13178,000;106,46024
1126,46;13313,000; 2237,000;12873,000;104,13689
1130,88;13111,000; 2154,000;12946,000;101,52891
1135,29;13560,000; 2780,000;13624,000;99,40981
1139,70;12906,000; 2109,000;13204,000;97,31411
1144,11;13035,000; 2181,000;13375,000;96,96266
1148,51;13330,000; 2244,000;13522,000;98,29757
1152,90;13683,000; 2301,000;13707,000;99,78958
1157,29;13670,000; 2006,000;13470,000;101,74459
1161,68;14137,000; 2262,000;13824,000;102,70714
1166,06;14131,000; 2248,000;13803,000;102,83860
1170,44;14215,000; 2494,000;13961,000;102,21505
1174,81;13559,000; 2196,000;13387,000;101,53695
1179,18;13583,000; 2339,000;13505,000;100,69855
