C_PACF_FCR_1
Integration time [ms]: 100,000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1204091U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

1014,48; 4046,000; 2159,000; 6686,000;41,68323
1019,01; 4262,000; 2263,000; 7134,000;41,03880
1023,54; 4553,000; 2460,000; 7582,000;40,86294
1028,07; 4544,000; 2357,000; 7740,000;40,62790
1032,59; 4535,000; 2222,000; 7947,000;40,40175
1037,10; 4699,000; 2251,000; 8409,000;39,75317
1041,62; 4877,000; 2335,000; 8775,000;39,47205
1046,12; 5468,000; 2824,000; 9555,000;39,28094
1050,62; 5022,000; 2300,000; 9240,000;39,22190
1055,12; 4983,000; 2181,000; 9387,000;38,88426
1059,62; 4833,000; 2009,000; 9358,000;38,42700
1064,10; 5316,000; 2401,000;10031,000;38,20446
1068,59; 5560,000; 2570,000;10411,000;38,13289
1073,07; 5429,000; 2356,000;10516,000;37,65931
1077,54; 5413,000; 2278,000;10631,000;37,53143
1082,01; 5696,000; 2486,000;11025,000;37,59222
1086,48; 5796,000; 2488,000;11325,000;37,43352
1090,94; 5388,000; 2081,000;10975,000;37,18237
1095,39; 6508,000; 3026,000;12290,000;37,58636
1099,85; 5884,000; 2345,000;11921,000;36,95698
1104,29; 6054,000; 2403,000;12226,000;37,16787
1108,73; 5748,000; 2060,000;12064,000;36,86525
1113,17; 6530,000; 2768,000;12897,000;37,14088
1117,61; 6208,000; 2351,000;12709,000;37,23692
1122,03; 6604,000; 2714,000;13178,000;37,17508
1126,46; 6201,000; 2237,000;12873,000;37,26965
1130,88; 6166,000; 2154,000;12946,000;37,17569
1135,29; 6841,000; 2780,000;13624,000;37,44928
1139,70; 6246,000; 2109,000;13204,000;37,28707
1144,11; 6356,000; 2181,000;13375,000;37,29677
1148,51; 6442,000; 2244,000;13522,000;37,22291
1152,90; 6529,000; 2301,000;13707,000;37,06821
1157,29; 6254,000; 2006,000;13470,000;37,05513
1161,68; 6541,000; 2262,000;13824,000;37,00917
1166,06; 6532,000; 2248,000;13803,000;37,07486
1170,44; 6727,000; 2494,000;13961,000;36,91462
1174,81; 6350,000; 2196,000;13387,000;37,11911
