C_PC_FCR_1
Integration time [ms]: 100,000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1204091U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

1014,48; 6077,000; 2159,000; 6686,000;86,54738
1019,01; 6420,000; 2263,000; 7134,000;85,34182
1023,54; 6820,000; 2460,000; 7582,000;85,12300
1028,07; 6911,000; 2357,000; 7740,000;84,59967
1032,59; 7010,000; 2222,000; 7947,000;83,63319
1037,10; 7360,000; 2251,000; 8409,000;82,96525
1041,62; 7640,000; 2335,000; 8775,000;82,37578
1046,12; 8318,000; 2824,000; 9555,000;81,62234
1050,62; 7961,000; 2300,000; 9240,000;81,57061
1055,12; 8019,000; 2181,000; 9387,000;81,01582
1059,62; 7944,000; 2009,000; 9358,000;80,75929
1064,10; 8552,000; 2401,000;10031,000;80,61599
1068,59; 8853,000; 2570,000;10411,000;80,13009
1073,07; 8878,000; 2356,000;10516,000;79,92647
1077,54; 8921,000; 2278,000;10631,000;79,52831
1082,01; 9268,000; 2486,000;11025,000;79,42382
1086,48; 9464,000; 2488,000;11325,000;78,94082
1090,94; 9084,000; 2081,000;10975,000;78,73848
1095,39;10273,000; 3026,000;12290,000;78,22755
1099,85; 9744,000; 2345,000;11921,000;77,26608
1104,29; 9926,000; 2403,000;12226,000;76,58556
1108,73; 9614,000; 2060,000;12064,000;75,50980
1113,17;10286,000; 2768,000;12897,000;74,22253
1117,61; 9856,000; 2351,000;12709,000;72,45607
1122,03;10130,000; 2714,000;13178,000;70,87156
1126,46; 9585,000; 2237,000;12873,000;69,08612
1130,88; 9493,000; 2154,000;12946,000;68,00408
1135,29;10171,000; 2780,000;13624,000;68,15751
1139,70; 9716,000; 2109,000;13204,000;68,56242
1144,11; 9971,000; 2181,000;13375,000;69,59085
1148,51;10174,000; 2244,000;13522,000;70,31389
1152,90;10356,000; 2301,000;13707,000;70,62073
1157,29;10109,000; 2006,000;13470,000;70,68214
1161,68;10402,000; 2262,000;13824,000;70,40304
1166,06;10305,000; 2248,000;13803,000;69,72739
1170,44;10397,000; 2494,000;13961,000;68,91951
1174,81; 9854,000; 2196,000;13387,000;68,42999
