DW905_PLA_FCR_3
Integration time [ms]: 100,000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1204091U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

1014,48; 5712,000; 2159,000; 6686,000;78,48465
1019,01; 6077,000; 2263,000; 7134,000;78,30014
1023,54; 6500,000; 2460,000; 7582,000;78,87544
1028,07; 6576,000; 2357,000; 7740,000;78,37637
1032,59; 6702,000; 2222,000; 7947,000;78,25328
1037,10; 7060,000; 2251,000; 8409,000;78,09354
1041,62; 7332,000; 2335,000; 8775,000;77,59317
1046,12; 8044,000; 2824,000; 9555,000;77,55163
1050,62; 7688,000; 2300,000; 9240,000;77,63689
1055,12; 7759,000; 2181,000; 9387,000;77,40772
1059,62; 7710,000; 2009,000; 9358,000;77,57518
1064,10; 8300,000; 2401,000;10031,000;77,31324
1068,59; 8650,000; 2570,000;10411,000;77,54113
1073,07; 8698,000; 2356,000;10516,000;77,72059
1077,54; 8769,000; 2278,000;10631,000;77,70861
1082,01; 9137,000; 2486,000;11025,000;77,88968
1086,48; 9362,000; 2488,000;11325,000;77,78658
1090,94; 9009,000; 2081,000;10975,000;77,89521
1095,39;10249,000; 3026,000;12290,000;77,96848
1099,85; 9782,000; 2345,000;11921,000;77,66291
1104,29;10058,000; 2403,000;12226,000;77,92935
1108,73; 9833,000; 2060,000;12064,000;77,69892
1113,17;10654,000; 2768,000;12897,000;77,85566
1117,61;10398,000; 2351,000;12709,000;77,68874
1122,03;10815,000; 2714,000;13178,000;77,41781
1126,46;10451,000; 2237,000;12873,000;77,22828
1130,88;10432,000; 2154,000;12946,000;76,70497
1135,29;11071,000; 2780,000;13624,000;76,45703
1139,70;10531,000; 2109,000;13204,000;75,90807
1144,11;10657,000; 2181,000;13375,000;75,71914
1148,51;10735,000; 2244,000;13522,000;75,28817
1152,90;10784,000; 2301,000;13707,000;74,37314
1157,29;10437,000; 2006,000;13470,000;73,54327
1161,68;10675,000; 2262,000;13824,000;72,76423
1166,06;10630,000; 2248,000;13803,000;72,54003
1170,44;10731,000; 2494,000;13961,000;71,83221
1174,81;10282,000; 2196,000;13387,000;72,25449
