KL200_HDPE_FCR_2
Integration time [ms]: 100,000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1204091U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

1014,48; 9235,000; 2453,000; 7571,000;132,51270
1019,01; 9778,000; 2571,000; 8072,000;131,01254
1023,54;10321,000; 2760,000; 8557,000;130,42953
1028,07;10551,000; 2645,000; 8728,000;129,96877
1032,59;10827,000; 2542,000; 8976,000;128,76904
1037,10;11403,000; 2552,000; 9493,000;127,51765
1041,62;11841,000; 2645,000; 9874,000;127,20985
1046,12;12710,000; 3172,000;10692,000;126,83511
1050,62;12511,000; 2658,000;10426,000;126,84089
1055,12;12691,000; 2509,000;10544,000;126,72060
1059,62;12767,000; 2352,000;10536,000;127,26051
1064,10;13514,000; 2726,000;11217,000;127,05217
1068,59;13983,000; 2932,000;11644,000;126,84803
1073,07;14203,000; 2693,000;11791,000;126,51132
1077,54;14363,000; 2612,000;11902,000;126,49085
1082,01;14841,000; 2824,000;12356,000;126,07008
1086,48;15183,000; 2801,000;12632,000;125,94853
1090,94;14929,000; 2380,000;12314,000;126,32374
1095,39;16331,000; 3344,000;13669,000;125,78208
1099,85;16057,000; 2612,000;13309,000;125,68945
1104,29;16418,000; 2682,000;13632,000;125,44292
1108,73;16321,000; 2312,000;13510,000;125,10270
1113,17;17142,000; 3042,000;14359,000;124,59132
1117,61;16987,000; 2646,000;14198,000;124,14301
1122,03;17564,000; 3046,000;14722,000;124,34053
1126,46;17239,000; 2527,000;14400,000;123,91140
1130,88;17286,000; 2466,000;14495,000;123,20226
1135,29;17933,000; 3111,000;15219,000;122,41493
1139,70;17405,000; 2407,000;14793,000;121,08833
1144,11;17430,000; 2489,000;14967,000;119,73874
1148,51;17363,000; 2565,000;15172,000;117,37923
1152,90;17233,000; 2579,000;15293,000;115,25877
1157,29;16730,000; 2339,000;15111,000;112,67617
1161,68;16654,000; 2547,000;15452,000;109,31422
1166,06;16211,000; 2534,000;15403,000;106,27865
1170,44;16147,000; 2810,000;15520,000;104,93312
1174,81;15434,000; 2521,000;14948,000;103,91084
1179,18;15273,000; 2667,000;15071,000;101,62851
