KL603_PS_FCR_3
Integration time [ms]: 100,000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1204091U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

1014,48; 7161,000; 2453,000; 7571,000;91,98906
1019,01; 7570,000; 2571,000; 8072,000;90,87439
1023,54; 8012,000; 2760,000; 8557,000;90,59859
1028,07; 8148,000; 2645,000; 8728,000;90,46523
1032,59; 8278,000; 2542,000; 8976,000;89,15138
1037,10; 8658,000; 2552,000; 9493,000;87,97003
1041,62; 8981,000; 2645,000; 9874,000;87,64698
1046,12; 9722,000; 3172,000;10692,000;87,10106
1050,62; 9422,000; 2658,000;10426,000;87,07518
1055,12; 9453,000; 2509,000;10544,000;86,42190
1059,62; 9393,000; 2352,000;10536,000;86,03372
1064,10;10024,000; 2726,000;11217,000;85,94983
1068,59;10393,000; 2932,000;11644,000;85,64050
1073,07;10449,000; 2693,000;11791,000;85,24951
1077,54;10522,000; 2612,000;11902,000;85,14532
1082,01;10890,000; 2824,000;12356,000;84,62023
1086,48;11046,000; 2801,000;12632,000;83,86736
1090,94;10714,000; 2380,000;12314,000;83,89370
1095,39;11930,000; 3344,000;13669,000;83,15738
1099,85;11443,000; 2612,000;13309,000;82,55586
1104,29;11673,000; 2682,000;13632,000;82,10959
1108,73;11427,000; 2312,000;13510,000;81,39846
1113,17;12187,000; 3042,000;14359,000;80,80763
1117,61;11909,000; 2646,000;14198,000;80,18525
1122,03;12391,000; 3046,000;14722,000;80,03597
1126,46;11990,000; 2527,000;14400,000;79,70184
1130,88;12067,000; 2466,000;14495,000;79,81545
1135,29;12749,000; 3111,000;15219,000;79,60026
1139,70;12286,000; 2407,000;14793,000;79,75941
1144,11;12467,000; 2489,000;14967,000;79,96474
1148,51;12643,000; 2565,000;15172,000;79,93972
1152,90;12783,000; 2579,000;15293,000;80,25798
1157,29;12612,000; 2339,000;15111,000;80,43376
1161,68;12965,000; 2547,000;15452,000;80,72840
1166,06;12935,000; 2534,000;15403,000;80,82213
1170,44;13071,000; 2810,000;15520,000;80,73171
1174,81;12557,000; 2521,000;14948,000;80,75964
1179,18;12664,000; 2667,000;15071,000;80,59497
