KL919_ABS_FCR_3
Integration time [ms]: 100,000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1204091U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

1014,48; 6112,000; 2159,000; 6686,000;87,32052
1019,01; 6495,000; 2263,000; 7134,000;86,88154
1023,54; 6903,000; 2460,000; 7582,000;86,74346
1028,07; 6995,000; 2357,000; 7740,000;86,16013
1032,59; 7140,000; 2222,000; 7947,000;85,90393
1037,10; 7526,000; 2251,000; 8409,000;85,66093
1041,62; 7835,000; 2335,000; 8775,000;85,40373
1046,12; 8541,000; 2824,000; 9555,000;84,93537
1050,62; 8177,000; 2300,000; 9240,000;84,68300
1055,12; 8282,000; 2181,000; 9387,000;84,66556
1059,62; 8183,000; 2009,000; 9358,000;84,01143
1064,10; 8785,000; 2401,000;10031,000;83,66972
1068,59; 9114,000; 2570,000;10411,000;83,45874
1073,07; 9140,000; 2356,000;10516,000;83,13725
1077,54; 9201,000; 2278,000;10631,000;82,88040
1082,01; 9541,000; 2486,000;11025,000;82,62092
1086,48; 9768,000; 2488,000;11325,000;82,38090
1090,94; 9387,000; 2081,000;10975,000;82,14527
1095,39;10604,000; 3026,000;12290,000;81,80052
1099,85;10126,000; 2345,000;11921,000;81,25522
1104,29;10368,000; 2403,000;12226,000;81,08521
1108,73;10136,000; 2060,000;12064,000;80,72771
1113,17;10909,000; 2768,000;12897,000;80,37319
1117,61;10610,000; 2351,000;12709,000;79,73547
1122,03;11025,000; 2714,000;13178,000;79,42469
1126,46;10592,000; 2237,000;12873,000;78,55397
1130,88;10508,000; 2154,000;12946,000;77,40919
1135,29;11050,000; 2780,000;13624,000;76,26337
1139,70;10463,000; 2109,000;13204,000;75,29518
1144,11;10550,000; 2181,000;13375,000;74,76327
1148,51;10716,000; 2244,000;13522,000;75,11970
1152,90;10918,000; 2301,000;13707,000;75,54796
1157,29;10713,000; 2006,000;13470,000;75,95080
1161,68;11027,000; 2262,000;13824,000;75,80868
1166,06;10975,000; 2248,000;13803,000;75,52575
1170,44;11104,000; 2494,000;13961,000;75,08503
1174,81;10575,000; 2196,000;13387,000;74,87267
