reference_end_measurement_1904
Integration time [ms]: 100,000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1204091U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

1014,48; 7044,000; 2159,000; 6686,000;107,90811
1019,01; 7479,000; 2263,000; 7134,000;107,08273
1023,54; 7929,000; 2460,000; 7582,000;106,77470
1028,07; 8046,000; 2357,000; 7740,000;105,68456
1032,59; 8240,000; 2222,000; 7947,000;105,11790
1037,10; 8654,000; 2251,000; 8409,000;103,97856
1041,62; 9021,000; 2335,000; 8775,000;103,81988
1046,12; 9762,000; 2824,000; 9555,000;103,07532
1050,62; 9439,000; 2300,000; 9240,000;102,86744
1055,12; 9564,000; 2181,000; 9387,000;102,45629
1059,62; 9501,000; 2009,000; 9358,000;101,94584
1064,10;10158,000; 2401,000;10031,000;101,66448
1068,59;10515,000; 2570,000;10411,000;101,32636
1073,07;10609,000; 2356,000;10516,000;101,13971
1077,54;10716,000; 2278,000;10631,000;101,01760
1082,01;11104,000; 2486,000;11025,000;100,92517
1086,48;11385,000; 2488,000;11325,000;100,67896
1090,94;11065,000; 2081,000;10975,000;101,01192
1095,39;12342,000; 3026,000;12290,000;100,56131
1099,85;11942,000; 2345,000;11921,000;100,21930
1104,29;12250,000; 2403,000;12226,000;100,24432
1108,73;12076,000; 2060,000;12064,000;100,11995
1113,17;12916,000; 2768,000;12897,000;100,18758
1117,61;12693,000; 2351,000;12709,000;99,84553
1122,03;13211,000; 2714,000;13178,000;100,31537
1126,46;12897,000; 2237,000;12873,000;100,22565
1130,88;12948,000; 2154,000;12946,000;100,01853
1135,29;13644,000; 2780,000;13624,000;100,18443
1139,70;13176,000; 2109,000;13204,000;99,74763
1144,11;13353,000; 2181,000;13375,000;99,80347
1148,51;13506,000; 2244,000;13522,000;99,85813
1152,90;13646,000; 2301,000;13707,000;99,46519
1157,29;13408,000; 2006,000;13470,000;99,45918
1161,68;13738,000; 2262,000;13824,000;99,25618
1166,06;13700,000; 2248,000;13803,000;99,10861
1170,44;13835,000; 2494,000;13961,000;98,90119
1174,81;13293,000; 2196,000;13387,000;99,16004
1179,18;13456,000; 2339,000;13505,000;99,56117
