Reading,Name,PlasticType,Color,MeasurementType,DateTime,nm940,nm1050,nm1200,nm1300,nm1450,nm1550,nm1650,nm1720,nm940_snv,nm1050_snv,nm1200_snv,nm1300_snv,nm1450_snv,nm1550_snv,nm1650_snv,nm1720_snv,nm940_norm,nm1050_norm,nm1200_norm,nm1300_norm,nm1450_norm,nm1550_norm,nm1650_norm,nm1720_norm
0,,unknown,,calibration,2023-05-08 10:26:27.931569,140544.0,216099.0,496445.0,504654.0,269570.0,282865.0,101862.0,71191.0,-0.7712281541551586,-0.28507543660658197,1.5187888973736081,1.571609063588369,0.05897951620977619,0.14452515024866608,-1.0201244471895579,-1.217474589469121,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,ref,reference,white,regular,2023-05-08 10:26:43.295772,140251.0,220252.0,495954.0,507297.0,269930.0,285027.0,103472.0,70612.0,-0.7796077392171316,-0.2656379497979511,1.5056211454939437,1.5784947260914584,0.053520450706618164,0.15051176220099158,-1.0158959716773261,-1.227006423800603,-0.7913715819446746,1.6737217536785265,-0.6645777887815782,0.05590827099232561,-0.39559482738428375,0.33431963180745383,1.2788557922167496,-1.491261250584583
2,ref,reference,white,regular,2023-05-08 10:26:45.356255,141223.0,219017.0,496028.0,507416.0,264415.0,280915.0,101693.0,71076.0,-0.7643260098569721,-0.26466180759782443,1.5145561312150497,1.5877002803181577,0.02692565999814419,0.13290374747630362,-1.0182238157970716,-1.2148741857557872,0.6237156756731993,1.5858358663332577,-0.005490296399416173,0.6949251251853036,-2.0339536750957317,-0.6771421872692264,-0.09637138369007699,-0.09151912473730948
3,ref,reference,white,regular,2023-05-08 10:26:46.952763,143876.0,219686.0,497213.0,508289.0,267264.0,283007.0,103781.0,71954.0,-0.7590790707140419,-0.27143495962107117,1.513743871922246,1.5849896993126398,0.03460819454831758,0.13587427080391232,-1.0169881939731458,-1.2217138122788571,1.477081309437223,0.7717636051477121,-0.7216035566197502,-0.16044962472535265,-1.723807273682517,-0.8252822107995766,0.9940382757798958,0.1882594754624315
4,A01A,PET,white,regular,2023-05-08 10:27:21.250425,138578.0,214154.0,460216.0,476942.0,219187.0,249416.0,77141.0,50291.0,-0.6505026820030362,-0.14452221168266904,1.5028601119117284,1.6148404938660321,-0.11082633326726722,0.09155648187661944,-1.061822706284189,-1.2415831544172187,1.1036851990661802,1.153710088949206,0.5120877807408688,0.6932525368386426,-0.6304670122363399,0.05803354271806773,-1.1899851685742793,-1.7003169675023406
5,A01A,PET,white,regular,2023-05-08 10:27:27.431445,141065.0,215860.0,459713.0,489898.0,227616.0,254343.0,78415.0,51148.0,-0.6521285307502194,-0.1579057983931938,1.4534010530468457,1.6528544012144615,-0.08022570692198325,0.0963782233902866,-1.0661007773197448,-1.2462728642664527,1.1328581932557165,1.0843096455032066,0.34913035917985413,0.8005243844224187,-0.4743994500661499,0.07837118024748005,-1.226392035615118,-1.7444022769274057
6,A01A,PET,white,regular,2023-05-08 10:27:34.553925,143016.0,214832.0,456548.0,487331.0,223680.0,249259.0,76992.0,50107.0,-0.6295368756858217,-0.1521492057145508,1.454626972780154,1.659253026093143,-0.09333325796048757,0.07669987128919409,-1.068422966837977,-1.247137563963654,1.2663763260091592,1.044955982434713,0.3415430840893177,0.7762188329331166,-0.5069508535337555,-0.021391374988672433,-1.2048634650864682,-1.6958885318574082
7,A02A,PET,white,regular,2023-05-08 10:28:07.034406,145751.0,219492.0,472976.0,497326.0,235280.0,259696.0,82250.0,55451.0,-0.6526408357557367,-0.17270517899119475,1.4770691666144133,1.6355486182385652,-0.06995061709213471,0.08895838869247705,-1.065930513685317,-1.2403490280210725,1.307287140013014,1.0667499195792276,0.3571722440040999,0.726221884204769,-0.5434267619153615,-0.033070926246518834,-1.279563892093142,-1.6013696075460804
8,A02A,PET,white,regular,2023-05-08 10:28:14.418487,144934.0,214440.0,474314.0,502205.0,238254.0,265554.0,85641.0,56585.0,-0.6653682019583916,-0.2155239454792411,1.4663859084652064,1.6468970320726646,-0.06139924942718098,0.11528691006812604,-1.0491137131289132,-1.23716474061227,1.326787935488566,0.8215739860855915,0.34246784716898826,0.8582413182108867,-0.5870177557616907,0.12668851489979988,-1.1462660581649624,-1.7424757879271808
9,A02A,PET,white,regular,2023-05-08 10:28:24.993786,146115.0,219413.0,483044.0,490605.0,235075.0,262007.0,85627.0,54832.0,-0.6563583793536663,-0.17990504334773377,1.5337552123833909,1.5829033975117826,-0.07809855274055605,0.09696544962392556,-1.0495438603807998,-1.2497182236963431,1.3135623736150435,1.0322462719491323,0.5422723639571793,0.5324918794583074,-0.6264692454299092,0.0011944962595286568,-0.9901545185498031,-1.8051436212594711
