Reading,Name,PlasticType,Color,MeasurementType,DateTime,nm940,nm1050,nm1200,nm1300,nm1450,nm1550,nm1650,nm1720,nm940_snv,nm1050_snv,nm1200_snv,nm1300_snv,nm1450_snv,nm1550_snv,nm1650_snv,nm1720_snv,nm940_norm,nm1050_norm,nm1200_norm,nm1300_norm,nm1450_norm,nm1550_norm,nm1650_norm,nm1720_norm
0,,unknown,,calibration,2023-09-13 10:02:14,27016,40824,88300,90176,49096,53390,19076,13274,-0.7553421703,-0.2497301533,1.488713946,1.557408047,0.05316835521,0.2104031467,-1.046083727,-1.258537444,1,1,1,1,1,1,1,1
1,2mm pmma,PMMA,transparent,regular,2023-09-13 10:02:38,25904,39629,70856,83884,36950,44585,14090,8149,-0.5966896096,-0.0358325353,1.240224576,1.77259951,-0.1453069325,0.16668897,-1.079455764,-1.322228215,1.14876338,1.251041694,-0.196672382,0.9026006814,-0.6254336805,0.08408608574,-0.7457255589,-1.818660219
2,2mm pmma,PMMA,transparent,regular,2023-09-13 10:02:40,25655,39515,71367,84120,37317,44801,13573,8434,-0.6063411121,-0.04393540942,1.248542689,1.766028975,-0.1331250007,0.1705578478,-1.096599821,-1.305128169,1.10320773,1.266097373,-0.1544084385,0.9539543757,-0.5826979206,0.1203838291,-1.01462488,-1.691912069
3,2mm pmma,PMMA,transparent,regular,2023-09-13 10:02:41,25611,39837,70648,83443,36916,44251,13893,8464,-0.6071095484,-0.02243492615,1.243866901,1.769728829,-0.1424851561,0.1589761369,-1.088707835,-1.311834401,1.113753131,1.364715875,-0.22002948,0.9094166119,-0.6544778073,0.03910134519,-0.8674571102,-1.685022565
4,2mm pmma,PMMA,transparent,regular,2023-09-13 10:02:42,25852,39729,71200,83981,36868,44565,13672,8452,-0.5980891175,-0.03301876637,1.248477884,1.768919201,-0.1495184619,0.1639027742,-1.094057762,-1.306615752,1.150866608,1.293675148,-0.1713288375,0.9259519991,-0.6578478582,0.07774658998,-0.9583805402,-1.660683109
5,2mm pmma,PMMA,transparent,regular,2023-09-13 10:02:44,25862,40209,71364,84547,37312,44592,13815,8350,-0.6031066516,-0.0221644415,1.239371389,1.773180628,-0.1394704694,0.1553130595,-1.090916703,-1.312206811,1.095485863,1.332637221,-0.1831686784,0.9264659503,-0.5967258986,0.04851510679,-0.9035305726,-1.719678991
6,2mm pmma,PMMA,transparent,regular,2023-09-13 10:02:45,26210,39866,71577,84234,37304,45000,13702,8198,-0.5894991174,-0.03627305132,1.248389498,1.761144501,-0.1400637061,0.1717133739,-1.096217895,-1.319193603,1.179489387,1.23259741,-0.1512527075,0.8787422963,-0.5748940138,0.1176652186,-0.9212925749,-1.761055015
7,3mm pmma,PMMA,transparent,regular,2023-09-13 10:02:57,24252,37666,60658,77680,31335,38960,11548,6884,-0.5334164037,0.06934014451,1.102483022,1.867364635,-0.2151426128,0.1274858858,-1.104269184,-1.313845487,1.194120713,1.3745913,-0.3299982038,0.9318492857,-0.6823157478,-0.02066316233,-0.9200525691,-1.547531615
8,3mm pmma,PMMA,transparent,regular,2023-09-13 10:02:59,24180,37560,59738,76006,30806,38648,11553,7155,-0.5310006445,0.08542680043,1.107185236,1.856665182,-0.2257354539,0.1355518423,-1.112736769,-1.315356194,1.250123292,1.438313982,-0.393155847,0.857807797,-0.7622136796,-0.0370616502,-0.926431675,-1.427382219
9,3mm pmma,PMMA,transparent,regular,2023-09-13 10:03:00,24008,37779,60773,77030,31338,39023,11600,7155,-0.5469635333,0.07655293508,1.117663797,1.853740133,-0.2150794499,0.1328781465,-1.108766768,-1.31002526,1.167711506,1.445400242,-0.3464404839,0.9074972033,-0.7238815388,-0.0242059783,-0.9521084936,-1.473972456
10,3mm pmma,PMMA,transparent,regular,2023-09-13 10:03:01,24279,37987,60705,77139,30764,38851,11599,7070,-0.5322716516,0.08762850347,1.114976893,1.858151619,-0.2390084108,0.1267001211,-1.105683817,-1.310493257,1.204684072,1.436551829,-0.3344777356,0.8894057392,-0.7781210839,-0.04153767074,-0.9134335083,-1.463071642
11,3mm pmma,PMMA,transparent,regular,2023-09-13 10:03:03,24009,37528,60370,76006,30955,39106,11817,7048,-0.5436360211,0.07678377644,1.125058724,1.842632801,-0.2248671836,0.1492020352,-1.10315656,-1.322017572,1.202426846,1.4354867,-0.3606049339,0.8529792168,-0.7661666047,0.01121699258,-0.8502633872,-1.52507483
12,4mm pmma,PMMA,transparent,regular,2023-09-13 10:03:16,22977,36106,52788,71216,27235,35036,10490,6381,-0.4889826482,0.1659958057,0.9982260263,1.917560549,-0.2765599003,0.1126157352,-1.11193306,-1.316922508,1.265466973,1.504058259,-0.5110306409,0.8383298953,-0.8140344351,-0.100411507,-0.8479505225,-1.334428021
13,4mm pmma,PMMA,transparent,regular,2023-09-13 10:03:17,22950,35829,52913,70630,26818,35141,10374,6501,-0.4864402137,0.1597884224,1.017011034,1.905995641,-0.2923558621,0.1252666969,-1.117465241,-1.311800477,1.292275101,1.493201884,-0.4940466459,0.8193793357,-0.8723980828,-0.07323899554,-0.8896095369,-1.27556306
14,4mm pmma,PMMA,transparent,regular,2023-09-13 10:03:18,22841,35441,52939,70933,26881,35232,10413,6516,-0.4905280232,0.1396043204,1.01468811,1.914577109,-0.2884855892,0.1291521252,-1.11205856,-1.306949492,1.291044429,1.456028072,-0.4979763779,0.8628910218,-0.8763769796,-0.05885700518,-0.8883800427,-1.288373117
15,4mm pmma,PMMA,transparent,regular,2023-09-13 10:03:19,23137,36170,52890,70774,26952,35010,10224,6403,-0.4782112649,0.1738631665,1.010407668,1.905190077,-0.287337026,0.1158253901,-1.124281788,-1.315456223,1.297012419,1.501347518,-0.4813353779,0.8025780409,-0.8268359945,-0.08924407985,-0.916665165,-1.28685736
16,4mm pmma,PMMA,transparent,regular,2023-09-13 10:03:21,22630,35632,52508,71388,26840,35130,10014,6505,-0.4944565959,0.1516096706,0.9901740695,1.928316748,-0.285262704,0.1266654108,-1.121342615,-1.295703985,1.230703644,1.480749721,-0.4970100342,0.9036437772,-0.8380813096,-0.04670573061,-0.9925906721,-1.240709396
17,4mm pmma,PMMA,transparent,regular,2023-09-13 10:03:22,22772,35749,52676,70250,26686,35012,10541,6500,-0.4925415918,0.1629346022,1.017927708,1.905601179,-0.2948430618,0.1257082822,-1.11033687,-1.314450248,1.276767551,1.514635826,-0.5109889586,0.8132236882,-0.8956791931,-0.08122439598,-0.8301356562,-1.28659886
18,5mm pmma,PMMA,transparent,regular,2023-09-13 10:03:34,21014,33766,45141,63925,22893,30848,9173,5947,-0.4538621937,0.2629302137,0.9023211824,1.958173486,-0.3482432372,0.09890886448,-1.119447113,-1.300781203,1.264754478,1.614717129,-0.6287444734,0.7751103724,-0.9478587429,-0.156009378,-0.8443426829,-1.077626703
19,5mm pmma,PMMA,transparent,regular,2023-09-13 10:03:35,21082,33274,45461,63398,22825,31065,9159,5835,-0.4479093376,0.2406975245,0.9290219855,1.942107721,-0.3494643113,0.1159327149,-1.12132302,-1.309063277,1.312671568,1.561792843,-0.5930615179,0.7577947705,-0.95153048,-0.1121270462,-0.8422375162,-1.133302621
20,5mm pmma,PMMA,transparent,regular,2023-09-13 10:03:36,21241,33444,45480,64047,22601,30886,8928,5808,-0.4363492013,0.2451449422,0.9173127297,1.954213636,-0.3603980389,0.1022897411,-1.123986453,-1.298227356,1.315171978,1.544296486,-0.5684324065,0.7873165703,-0.9485164788,-0.1278044846,-0.8951731173,-1.106858547
