Reading,Name,PlasticType,Color,MeasurementType,DateTime,nm940,nm1050,nm1200,nm1300,nm1450,nm1550,nm1650,nm1720,nm940_snv,nm1050_snv,nm1200_snv,nm1300_snv,nm1450_snv,nm1550_snv,nm1650_snv,nm1720_snv,nm940_norm,nm1050_norm,nm1200_norm,nm1300_norm,nm1450_norm,nm1550_norm,nm1650_norm,nm1720_norm
0,,unknown,,calibration,2023-09-19 11:48:39.681509,26368.0,40571.0,88405.0,90323.0,49804.0,53594.0,18836.0,12764.0,-0.7700472285977632,-0.2545197081247973,1.4817151305926464,1.5513329426230025,0.08061129212352307,0.2181772502022769,-1.0434368846001838,-1.2638327942187044,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,ref,reference,white,regular,2023-09-19 11:48:52.332598,26459.0,40513.0,87985.0,90881.0,49231.0,53682.0,19067.0,12801.0,-0.7669205114770967,-0.2565450271749609,1.4674157662497576,1.5725849282348852,0.06005191833137323,0.2216914003741231,-1.0353633448314008,-1.2629151297066805,0.35195324994147803,-0.3766475458142007,-0.872448839479733,0.7589931134830668,-1.8807257158587585,0.08187799538476594,1.6675033993834962,0.26949434295980246
2,ref,reference,white,regular,2023-09-19 11:48:53.770032,26197.0,40692.0,88426.0,91014.0,50054.0,53743.0,18873.0,12432.0,-0.7739593155532936,-0.25172649002270137,1.4680570004138138,1.561298708069776,0.08557214485949277,0.21848120959784081,-1.037831907080445,-1.2698913502844837,-0.49860135513803944,0.445040712182521,0.17145522639415328,0.9102950219797863,0.6480957889785336,0.4248808453212472,0.34356534131304534,-2.4447315810312142
3,ref,reference,white,regular,2023-09-19 11:48:55.036030,26671.0,40919.0,87912.0,90065.0,49371.0,53761.0,18749.0,12535.0,-0.7596081937202406,-0.2399480169473936,1.4740041649087545,1.552529456921103,0.06831755113823969,0.22843182514391056,-1.048543336925918,-1.2751834505184554,1.5161487657323658,1.190228188818189,-0.39305711562413204,-0.08877627938473523,-0.7417777986185904,0.5793006484641378,-0.2859183905237108,-1.7761480188634493
4,ref,reference,white,regular,2023-09-19 11:48:56.098023,26432.0,40596.0,87646.0,89539.0,49080.0,52936.0,18659.0,12472.0,-0.7597532319902732,-0.24084375287414678,1.4828706634216557,1.5522222338796356,0.06997437906748104,0.21124202602256317,-1.04452330973453,-1.271189007792386,1.533184955004666,1.2936391138675187,0.07649378150260128,0.06399752324089501,-0.7107351894629644,-0.41186303382113715,-0.030835046396937578,-1.8138821039346125
5,ref,reference,white,regular,2023-09-19 11:48:57.060673,26294.0,40494.0,87185.0,89434.0,48825.0,52662.0,18427.0,12550.0,-0.7602442797150458,-0.23846883293474141,1.4771802787285822,1.5598192209686457,0.06765167742629492,0.2086412823062969,-1.049315226181289,-1.2652641205987434,1.454944824543764,1.584821323860714,-0.11663857271520765,0.44912299670318423,-0.9539055760081895,-0.6298236445668177,-1.2479151131837036,-0.5406062386337755
6,ref,reference,white,regular,2023-09-19 11:48:57.944039,26300.0,40046.0,87609.0,89438.0,48759.0,53000.0,18563.0,12635.0,-0.7602717502095514,-0.2564720284436945,1.4867424460470264,1.5537764698437493,0.0628650132954231,0.21830038504058524,-1.043837765581473,-1.2611027699920652,1.7968149955137902,-0.32013610957049576,0.484087144960046,0.32183258210820465,-1.9632029895826637,0.059259428658724835,-0.6374819001141656,0.2588268480266502
7,ref,reference,white,regular,2023-09-19 11:48:58.861704,26252.0,40216.0,87387.0,89737.0,49313.0,52757.0,18440.0,12578.0,-0.7624280708768683,-0.2513857062762544,1.4749376524014566,1.5609409148485665,0.08153841222645142,0.2075789381276627,-1.0483248735308353,-1.2628572669201792,1.4155876609404516,0.5516269519737399,0.002550754892939158,1.0008544916282278,0.33149683732499213,-0.8120470855769579,-1.8855693884466311,-0.6045002227368278
8,ref,reference,white,regular,2023-09-19 11:49:01.365128,26048.0,40468.0,87908.0,90012.0,49159.0,53234.0,18741.0,12567.0,-0.7727353740397801,-0.24760325414069714,1.4800158698546217,1.5566370890132672,0.06889627803981122,0.21729526476580033,-1.038833876127339,-1.2636719973656843,-0.9180113488411934,1.2048167250132864,0.5228568561943373,1.004760868735339,-1.0982495227692752,0.2805803376843818,0.650777427270229,-1.6475313432870804
9,6mm pmma,PMMA,transparent,regular,2023-09-19 11:49:41.970009,18636.0,30521.0,38979.0,58167.0,19717.0,27042.0,7021.0,4247.0,-0.4212053344918858,0.30375399361876376,0.8196737241328466,1.9901002775856984,-0.3552666694782037,0.09154250834346296,-1.1296952458091087,-1.2989032539015735,1.2437270040423198,1.5448235339360414,-0.5147628618175932,0.828485564027857,-0.8125636278031357,-0.09369763611392816,-0.9656786317462651,-1.2303333445252997
10,6mm pmma,PMMA,transparent,regular,2023-09-19 11:49:44.388661,18701.0,30059.0,39201.0,57933.0,19016.0,27511.0,7227.0,4360.0,-0.41639540337763176,0.2791073894993008,0.8389142685696405,1.9859611356387286,-0.39710649866234443,0.12308158246897645,-1.1190014119592415,-1.2945610621774284,1.2842495446968247,1.4985116513599306,-0.5141742131098546,0.8252974343939653,-0.9310126660414132,-0.04125418120949314,-0.9184045849908469,-1.2032129850991125
11,6mm pmma,PMMA,transparent,regular,2023-09-19 11:49:45.246925,19134.0,30405.0,39084.0,57923.0,19614.0,27325.0,7125.0,4486.0,-0.3997198617938013,0.29307462725401273,0.82654666792884,1.9845233673496339,-0.37021570468769266,0.1037562858231488,-1.1378769923922574,-1.300088389481884,1.3440857017686942,1.5025390494045054,-0.5457251625477038,0.7818095309615742,-0.8674881869770416,-0.09418325784847369,-0.9711843924760406,-1.149853282285512
12,6mm pmma,PMMA,transparent,regular,2023-09-19 11:49:46.102390,19020.0,30308.0,39027.0,58595.0,19144.0,27019.0,6965.0,4188.0,-0.39421689503229157,0.2889935315787716,0.8167142712688726,2.001074798193508,-0.3867117486024748,0.08992557506532486,-1.1238502838342377,-1.2919292486374732,1.3089057770763801,1.4744903504719478,-0.4938000700542493,0.8412661421735795,-0.8613991276796504,-0.0900325671894259,-0.9555443557735694,-1.2238861490250157
13,6mm pmma,PMMA,transparent,regular,2023-09-19 11:49:47.051437,18923.0,29804.0,38621.0,57925.0,19071.0,26869.0,7143.0,4416.0,-0.39554002421094847,0.2744795917989107,0.8174042268838227,2.006087129875673,-0.38642662441594255,0.09375102153984105,-1.1209173862729043,-1.288837935198452,1.3497132930574554,1.4640973068781478,-0.5436428533091279,0.8349433793224295,-0.907386490718072,-0.10885684120328294,-0.9323385848224829,-1.156529209205068
14,6mm pmma,PMMA,transparent,regular,2023-09-19 11:49:48.432397,18766.0,30188.0,38944.0,58289.0,19093.0,26784.0,7361.0,4194.0,-0.40797580101654723,0.28894885534972037,0.8232048780377819,2.003559236066625,-0.3880235717544417,0.08125041985061557,-1.1038631855251517,-1.297100831008602,1.2863173424499323,1.501382724888949,-0.5146976216516044,0.845613940958289,-0.8942916806209236,-0.12126226592233835,-0.8449361228297931,-1.2581263172725108
