Reading,Name,PlasticType,Color,MeasurementType,DateTime,nm940,nm1050,nm1200,nm1300,nm1450,nm1550,nm1650,nm1720,nm940_norm,nm1050_norm,nm1200_norm,nm1300_norm,nm1450_norm,nm1550_norm,nm1650_norm,nm1720_norm,nm940_snv,nm1050_snv,nm1200_snv,nm1300_snv,nm1450_snv,nm1550_snv,nm1650_snv,nm1720_snv,nm940_snvScaled,nm1050_snvScaled,nm1200_snvScaled,nm1300_snvScaled,nm1450_snvScaled,nm1550_snvScaled,nm1650_snvScaled,nm1720_snvScaled
1,,calibration,white,calibration,"January 24, 2024 at 11:45AM",578432,848445,1555265,1549915,1020371,983357,358534,296773,999102.69,999962.87,1000544.56,1000829.44,1000777.25,1000570.31,1001960.38,1002674.12,-1537383.75,-759507.5,-233481.58,24133.78,-23059.91,-210195.59,1046852,1692303.37,192523.25,348098.5,453303.684,504826.756,495388.018,457960.882,709370.4,838460.674
2,,calibration,white,calibration,"January 24, 2024 at 11:45AM",579549,848677,1555286,1549376,1019289,981583,356050,294304,1001032,1000236.25,1000558.12,1000481.38,999716.06,998765.25,995018.63,994332.44,864297.56,560581.62,683432.5,654139.12,362040.31,-858.76,-1430842.87,-1692741.87,672859.512,612116.324,636686.5,630827.824,572408.062,499828.248,213831.426,161451.626
3,,pet,transparent,,"January 24, 2024 at 11:45AM",670873.5,991415.5,1590252.5,1755639.5,977729.5,1036084.5,299190.5,218563.5,1158773.12,1168465.5,1023053.06,1133672.37,958954.63,1054220.75,836118.88,738436.31,957824.56,1019793.13,90092.97,797341.94,-319722.94,289364.81,-1105078.25,-1729615.62,691564.912,703958.626,518018.594,659468.388,436055.412,557872.962,278984.35,154076.876
4,,pet,transparent,,"January 24, 2024 at 11:45AM",680057.5,996756.5,1582503.5,1760488.5,982406.5,1042610.5,298434.5,218846.5,1174636.37,1174760.37,1018067.81,1136803.5,963541.81,1060861,834006.13,739392.5,1011504.44,1012279.25,33174.45,775103,-307535.19,300570.75,-1116948.25,-1708148.37,702300.888,702455.85,506634.89,655020.6,438492.962,560114.15,276610.35,158370.326
5,,pet,transparent,,"January 24, 2024 at 11:46AM",673099,990860,1574496,1744121,981722,1035160,298431,217497,1162617.25,1167810.75,1012916.44,1126234.37,962870.44,1053280.12,833996.37,734833.06,992685.87,1025777,38845.14,760867,-280030.28,296028.31,-1101170.25,-1733003.87,698537.174,705155.4,507769.028,652173.4,443993.944,559205.662,279765.95,153399.226
6,,pet,transparent,,"January 24, 2024 at 11:46AM",674398,994829,1584583,1747887,986912,1020726,298009,216866,1164861,1172488.62,1019405.63,1128666.25,967960.75,1038593.44,832817,732701.19,996182.69,1044373.87,77198.97,767505.06,-247828.58,198427.12,-1101663.75,-1734193.12,699236.538,708874.774,515439.794,653501.012,450434.284,539685.424,279667.25,153161.376
7,,pet,transparent,,"January 24, 2024 at 11:46AM",647714.5,936667.5,1645482.5,1693558.5,1043273.5,1052183.5,330918.5,250729.5,1118771.5,1103940.37,1058584,1093584.62,1023240,1070601.62,924786,847112.06,924557.19,769955.69,297155.25,662006.06,-71274.95,422428.5,-1097571.62,-1907254.37,684911.438,653991.138,559431.05,632401.212,485745.01,584485.7,280485.676,118549.126
8,,pet,transparent,,"January 24, 2024 at 11:46AM",636991,931009,1642795,1686228,1040309,1047836,328365,249407,1100249.25,1097271.5,1056855.12,1088851.12,1020332.44,1066178,917650.06,842643.87,809808.94,778285.25,350421.94,689143.94,-36221.32,449117.47,-1123256.62,-1917301,661961.788,655657.05,570084.388,637828.788,492755.736,589823.494,275348.676,116539.8
9,,pet,transparent,,"January 24, 2024 at 11:46AM",683119.5,996839.5,1587266.5,1766967.5,983775.5,1036746.5,297664.5,218671.5,1179925.25,1174858.12,1021132,1140987.12,964884.5,1054894.37,831854.31,738801.25,1031008,999632.69,47770.03,789905.5,-300511,256824.55,-1124225.62,-1700404.37,706201.6,699926.538,509554.006,657981.1,439897.8,551364.91,275154.876,159919.126
10,,pet,transparent,,"January 24, 2024 at 11:46AM",672941,990237,1570354,1749850,984496,1036993,299995,218615,1162344.37,1167076.5,1010251.75,1129933.87,965591.19,1055145.12,838367.12,738610.31,989593.75,1020016.06,11808.25,781230.44,-275309.25,300422.47,-1093217.75,-1734542.5,697918.75,704003.212,502361.65,656246.088,444938.15,560084.494,281356.45,153091.5
