Reading,Name,PlasticType,Color,MeasurementType,DateTime,nm940,nm1050,nm1200,nm1300,nm1450,nm1550,nm1650,nm1720,nm940_norm,nm1050_norm,nm1200_norm,nm1300_norm,nm1450_norm,nm1550_norm,nm1650_norm,nm1720_norm,nm940_snv,nm1050_snv,nm1200_snv,nm1300_snv,nm1450_snv,nm1550_snv,nm1650_snv,nm1720_snv,nm940_snvScaled,nm1050_snvScaled,nm1200_snvScaled,nm1300_snvScaled,nm1450_snvScaled,nm1550_snvScaled,nm1650_snvScaled,nm1720_snvScaled
1,calibration,calibration,,calibration,9/14/2024 11:00:00,0.81052,0.28892,0.69142,0.73372,0.46211,0.38456,0.2274,0.1156,,,,,,,,,,,,,,,,,,,,,,,,
2,SC07,PLA,,,9/14/2024 11:00:10,0.70561,0.24259,0.4219,0.53003,0.24289,0.22202,0.12148,0.05711,,,,,,,,,,,,,,,,,,,,,,,,
3,SC07,PLA,,,9/14/2024 11:00:20,0.69451,0.24048,0.42613,0.53794,0.25487,0.23407,0.12568,0.058,,,,,,,,,,,,,,,,,,,,,,,,
4,SC07,PLA,,,9/14/2024 11:00:30,0.69013,0.25453,0.41473,0.50896,0.23929,0.23072,0.12939,0.05545,,,,,,,,,,,,,,,,,,,,,,,,
5,SC07,PLA,,,9/14/2024 11:00:40,0.68261,0.24973,0.41578,0.5132,0.23408,0.22608,0.12882,0.0547,,,,,,,,,,,,,,,,,,,,,,,,
6,SC02,PLA,,,9/14/2024 11:00:50,0.65197,0.23123,0.46401,0.55131,0.28557,0.255,0.14269,0.06822,,,,,,,,,,,,,,,,,,,,,,,,
7,SC02,PLA,,,9/14/2024 11:01:00,0.66094,0.23149,0.45204,0.5511,0.28549,0.25338,0.13965,0.06423,,,,,,,,,,,,,,,,,,,,,,,,
8,SC02,PLA,,,9/14/2024 11:01:10,0.64193,0.23307,0.46516,0.54697,0.28121,0.25955,0.14708,0.06585,,,,,,,,,,,,,,,,,,,,,,,,
9,SC02,PLA,,,9/14/2024 11:01:20,0.65048,0.23479,0.46502,0.54591,0.28648,0.26303,0.14821,0.06622,,,,,,,,,,,,,,,,,,,,,,,,
10,SC03,PLA,,,9/14/2024 11:01:30,0.06649,0.02822,0.05693,0.05776,0.03362,0.03024,0.01981,0.01105,,,,,,,,,,,,,,,,,,,,,,,,
