Reading,Name,PlasticType,Color,MeasurementType,DateTime,nm940,nm1050,nm1200,nm1300,nm1450,nm1550,nm1650,nm1720,nm940_norm,nm1050_norm,nm1200_norm,nm1300_norm,nm1450_norm,nm1550_norm,nm1650_norm,nm1720_norm,nm940_snv,nm1050_snv,nm1200_snv,nm1300_snv,nm1450_snv,nm1550_snv,nm1650_snv,nm1720_snv,nm940_snvScaled,nm1050_snvScaled,nm1200_snvScaled,nm1300_snvScaled,nm1450_snvScaled,nm1550_snvScaled,nm1650_snvScaled,nm1720_snvScaled
1,calibration,calibration,,calibration,9/14/2024 11:00:00,463965,522644.22,482828.06,738003.75,747010.12,539360.13,388593.72,117542.85,,,,,,,,,,,,,,,,,,,,,,,,
2,SC07,PLA,,,9/14/2024 11:00:10,749713.75,789440.38,426438.06,629001.37,307830.44,448599.75,397407.59,251568.41,,,,,,,,,,,,,,,,,,,,,,,,
3,SC07,PLA,,,9/14/2024 11:00:20,755570.25,784488,407484.59,630718.12,305420.56,459122.84,398650.44,258545.48,,,,,,,,,,,,,,,,,,,,,,,,
4,SC07,PLA,,,9/14/2024 11:00:30,774384.63,756916.25,434302.44,649288.19,322683.69,448663.75,348335.22,265425.28,,,,,,,,,,,,,,,,,,,,,,,,
5,SC07,PLA,,,9/14/2024 11:00:40,775525.06,762002.5,430588.25,644650.25,329419.66,443585.91,345900.69,268327.47,,,,,,,,,,,,,,,,,,,,,,,,
6,SC02,PLA,,,9/14/2024 11:00:50,734010.25,753177.94,425480.75,678058.25,336686.13,484333.81,372219.94,216032.2,,,,,,,,,,,,,,,,,,,,,,,,
7,SC02,PLA,,,9/14/2024 11:01:00,740528.81,760170.81,404364.09,673044.69,335643.75,489461.09,357351.38,239435.88,,,,,,,,,,,,,,,,,,,,,,,,
8,SC02,PLA,,,9/14/2024 11:01:10,738727.69,765446.81,416681.12,658176.75,327763.84,487731.19,383182.44,222289.62,,,,,,,,,,,,,,,,,,,,,,,,
9,SC02,PLA,,,9/14/2024 11:01:20,733788.81,761162.56,417040.12,666632.69,333443.84,490016.34,382055.94,215857.95,,,,,,,,,,,,,,,,,,,,,,,,
10,calibration,calibration,,calibration,9/14/2024 11:01:30,232195.23,354763.03,589548.13,427821.97,398945.25,494962.41,613414.81,888404.31,,,,,,,,,,,,,,,,,,,,,,,,
11,SC03,PLA,,,9/14/2024 11:01:40,917845.44,625119,331178.19,436160.87,349002.84,321810.97,474481.5,544401.75,,,,,,,,,,,,,,,,,,,,,,,,
12,SC03,PLA,,,9/14/2024 11:01:50,922117,634338.87,322787.75,423722.06,374109,326850.94,479182.5,516892.06,,,,,,,,,,,,,,,,,,,,,,,,
13,SC03,PLA,,,9/14/2024 11:02:00,924450.38,619314.25,357337.81,432865.72,341491.59,319558.09,463440.75,541541.25,,,,,,,,,,,,,,,,,,,,,,,,
14,SC03,PLA,,,9/14/2024 11:02:10,923590.19,622119.75,340848.34,427758.25,348501.28,331056.87,460650.91,545474.5,,,,,,,,,,,,,,,,,,,,,,,,
15,SC11,PLA,,,9/14/2024 11:02:20,757017.31,730739.19,420971.22,702269.5,317059.97,459205.59,347751.78,264984.53,,,,,,,,,,,,,,,,,,,,,,,,
16,SC11,PLA,,,9/14/2024 11:02:30,762429.5,744063.06,449619.06,672424.37,322546.66,454442.28,339100.09,255374.47,,,,,,,,,,,,,,,,,,,,,,,,
17,SC11,PLA,,,9/14/2024 11:02:40,695504,816953.12,390810.94,618066.81,247778.58,497473,456986.09,276427.41,,,,,,,,,,,,,,,,,,,,,,,,
18,SC11,PLA,,,9/14/2024 11:02:50,690050.44,798066,350301.5,627472.69,255001.39,542407.88,468081.72,268619.22,,,,,,,,,,,,,,,,,,,,,,,,
19,SC18,PLA,,,9/14/2024 11:03:00,798156.06,756068.12,366973,603689.56,290758.63,468967.66,434625.97,280761.34,,,,,,,,,,,,,,,,,,,,,,,,
20,SC18,PLA,,,9/14/2024 11:03:10,806490,735150.12,310554.44,605302.75,280296.91,489640.06,455384.91,317181.03,,,,,,,,,,,,,,,,,,,,,,,,
